index,fighter_name,reach,date_of_birth,slpm,td_avg,strike_acc,td_acc,sapm,td_def,strike_def,sub_avg,total_wins,total_losses,total_draws,height_cm,ufc_wins,ufc_losses,ufc_nc
544,Jesse Lennox,72.0,1982-03-10,2.69,1.22,32.0,66.0,3.2,63.0,64.0,0.3,14,4,0,175.26,0,0,3
545,Amanda Lemos,65.0,1987-05-22,3.54,0.82,55.0,55.0,4.66,55.0,42.0,0.8,13,3,1,162.56,0,0,10
546,Thales Leites,78.0,1981-09-06,2.13,2.1,40.0,27.0,2.99,30.0,52.0,1.1,28,9,0,185.42,0,0,21
547,JeongYeong Lee,73.0,1995-11-13,2.39,0.0,47.0,0.0,1.84,73.0,55.0,0.9,10,1,0,177.8,0,0,1
548,Andrea Lee,69.0,1989-02-11,4.91,1.84,47.0,57.0,3.69,54.0,63.0,0.6,13,8,0,167.64,0,0,11
549,Rocky Lee,,1987-04-08,2.47,1.0,51.0,10.0,5.33,33.0,44.0,0.0,3,2,0,175.26,0,0,1
550,Kevin Lee,77.0,1992-09-04,3.88,3.18,42.0,43.0,3.6,75.0,50.0,0.8,18,8,0,175.26,0,0,19
551,Vaughan Lee,66.0,1982-10-15,3.47,0.81,47.0,33.0,2.07,72.0,70.0,1.0,14,13,1,167.64,0,0,8
552,David Lee,,,1.49,0.0,50.0,0.0,3.31,50.0,42.0,0.0,12,10,0,177.8,0,0,2
553,James Lee,,1973-09-22,1.4,13.95,42.0,50.0,3.72,0.0,27.0,7.0,15,3,0,180.34,0,0,1
554,Justin Ledet,80.0,1988-09-28,3.35,0.23,39.0,50.0,4.82,42.0,49.0,0.2,9,4,0,193.04,0,0,7
555,Mickael Lebout,73.0,1987-08-16,2.6,0.0,34.0,0.0,2.98,60.0,54.0,0.0,16,7,1,180.34,0,0,3
556,Chris Leben,73.0,1980-07-21,2.87,1.14,42.0,41.0,2.87,53.0,52.0,0.8,22,11,0,180.34,0,0,22
557,Jordan Leavitt,71.0,1995-06-02,2.64,2.31,60.0,26.0,1.93,30.0,56.0,1.2,11,2,0,175.26,0,0,6
558,Cung Le,70.0,1972-05-25,4.36,1.37,48.0,71.0,2.98,88.0,66.0,0.3,9,3,0,175.26,0,0,4
559,Mounir Lazzez,76.0,1987-11-16,7.49,1.8,55.0,57.0,5.42,71.0,53.0,0.0,11,3,0,185.42,0,0,4
560,Zviad Lazishvili,69.0,1991-10-25,4.2,0.0,39.0,0.0,6.13,0.0,51.0,0.0,13,1,0,167.64,0,0,1
561,Valmir Lazaro,73.0,1985-08-15,4.87,1.33,37.0,40.0,4.09,96.0,61.0,0.0,15,5,0,182.88,0,0,3
562,Ronnie Lawrence,68.0,1992-06-13,2.78,6.75,56.0,77.0,1.75,45.0,52.0,0.2,8,2,0,172.72,0,0,4
563,Justin Lawrence,67.0,1990-05-15,3.84,0.72,35.0,28.0,2.83,73.0,67.0,0.0,10,4,0,172.72,0,0,3
564,Tom Lawlor,74.0,1983-05-15,2.5,2.46,42.0,32.0,2.41,57.0,60.0,1.4,10,6,0,182.88,0,0,11
565,Robbie Lawler,74.0,1982-03-20,3.85,0.65,47.0,64.0,4.67,65.0,59.0,0.0,30,16,0,180.34,0,0,25
566,Dan Lauzon,,1988-03-30,1.34,1.63,25.0,33.0,4.09,80.0,61.0,2.7,17,6,0,177.8,0,0,3
567,Joe Lauzon,71.0,1984-05-22,2.84,2.39,39.0,45.0,5.39,54.0,54.0,2.0,28,16,0,177.8,0,0,27
568,Jenel Lausa,68.0,1988-08-01,1.44,0.55,42.0,66.0,3.53,51.0,53.0,0.8,7,5,0,165.1,0,0,4
569,Ilir Latifi,73.0,1982-07-28,2.05,2.11,45.0,35.0,2.93,100.0,56.0,0.3,17,9,0,177.8,0,0,16
570,Brock Larson,71.0,1977-08-23,1.39,2.67,46.0,34.0,1.5,43.0,55.0,2.0,42,10,0,180.34,0,0,6
571,Jeremy Larsen,70.0,1984-05-18,4.87,2.49,48.0,33.0,5.75,0.0,57.0,0.0,8,5,0,177.8,0,0,3
572,Lorenz Larkin,72.0,1986-09-03,3.53,0.27,46.0,42.0,2.74,79.0,63.0,0.1,18,6,0,180.34,0,0,10
573,Icho Larenas,,1980-03-12,0.17,0.0,15.0,0.0,2.5,14.0,28.0,0.0,6,5,0,190.5,0,0,1
574,TJ Laramie,66.0,1997-10-15,1.49,1.44,50.0,33.0,2.64,40.0,38.0,0.0,12,5,0,167.64,0,0,2
575,Anthony Lapsley,,1980-02-13,0.53,0.0,34.0,0.0,0.58,20.0,66.0,0.0,23,7,0,175.26,0,0,2
576,Chad Laprise,71.0,1986-07-23,4.78,1.05,42.0,54.0,3.59,78.0,65.0,0.0,13,4,0,177.8,0,0,10
577,Taylor Lapilus,73.0,1992-04-08,4.18,0.45,47.0,40.0,2.27,81.0,62.0,0.5,19,3,0,167.64,0,0,5
578,Lina Lansberg,65.0,1982-03-13,2.69,0.52,55.0,27.0,3.87,47.0,44.0,0.1,10,8,0,170.18,0,0,11
579,Austen Lane,80.0,1987-11-09,4.48,0.0,47.0,0.0,2.85,0.0,48.0,0.0,12,4,0,198.12,0,0,2
580,Nate Landwehr,72.0,1988-06-06,6.14,1.07,46.0,41.0,5.58,86.0,55.0,1.1,17,5,0,175.26,0,0,7
581,Jason Lambert,75.0,1975-06-03,3.21,1.35,58.0,36.0,1.84,28.0,50.0,2.4,26,13,0,190.5,0,0,8
582,Ricardo Lamas,71.0,1982-05-21,3.13,1.84,47.0,33.0,2.87,46.0,57.0,0.9,20,8,0,172.72,0,0,17
583,Yohan Lainesse,76.0,1992-08-14,2.34,1.0,42.0,28.0,3.44,80.0,59.0,0.5,9,2,0,185.42,0,0,3
584,Tina Lahdemaki,,1988-05-28,1.93,0.0,20.0,0.0,4.67,16.0,57.0,0.0,5,1,0,157.48000000000002,0,0,1
585,Noad Lahat,69.0,1984-06-08,2.79,2.37,46.0,26.0,1.47,16.0,63.0,2.4,11,2,0,175.26,0,0,4
586,Ryan LaFlare,74.0,1983-10-01,2.89,2.13,40.0,44.0,1.86,58.0,63.0,0.2,14,3,0,185.42,0,0,10
587,Aspen Ladd,66.0,1995-03-01,3.78,1.56,47.0,47.0,4.65,62.0,47.0,0.6,9,3,0,167.64,0,0,7
588,Luan Lacerda,71.0,1993-01-07,4.52,1.26,44.0,25.0,7.07,75.0,47.0,0.6,12,3,0,170.18,0,0,2
589,Daniel Lacerda,70.0,1996-06-05,4.16,1.91,47.0,42.0,8.7,0.0,34.0,1.3,11,5,0,167.64,0,0,5
590,Guram Kutateladze,72.0,1992-01-08,4.62,0.69,45.0,18.0,4.53,75.0,56.0,0.0,12,4,0,180.34,0,0,3
591,Leo Kuntz,,1983-10-03,1.68,1.99,32.0,25.0,3.8,33.0,45.0,0.7,18,4,1,177.8,0,0,2
592,Kiichi Kunimoto,71.0,1981-05-01,1.87,1.59,44.0,20.0,3.92,28.0,41.0,0.3,18,7,2,177.8,0,0,5
593,Keigo Kunihara,,,0.17,4.97,10.0,40.0,1.99,100.0,57.0,2.5,3,2,0,182.88,0,0,1
594,Aleksei Kunchenko,70.0,1984-05-02,3.67,0.25,44.0,33.0,2.83,80.0,63.0,0.0,20,2,0,172.72,0,0,4
595,Anton Kuivanen,72.0,1984-05-01,2.27,1.2,38.0,100.0,1.63,71.0,67.0,0.4,24,10,0,172.72,0,0,3
596,Michael Kuiper,73.0,1989-06-07,3.28,2.3,54.0,55.0,3.62,79.0,54.0,0.0,15,5,0,182.88,0,0,4
597,Nikita Krylov,77.0,1992-03-07,4.38,2.29,55.0,38.0,2.47,53.0,44.0,1.4,30,9,0,190.5,0,0,18
598,Pascal Krauss,,1987-04-19,5.45,1.53,47.0,50.0,3.88,60.0,59.0,0.9,11,2,0,185.42,0,0,4
599,James Krause,73.0,1986-06-04,4.79,0.96,49.0,18.0,4.11,59.0,61.0,0.9,28,9,0,187.96,0,0,13
600,Derrick Krantz,72.0,1988-01-13,2.07,3.18,37.0,50.0,4.03,0.0,50.0,0.8,22,12,0,177.8,0,0,2
601,Karolina Kowalkiewicz,64.0,1985-10-15,5.92,0.36,43.0,26.0,5.55,74.0,59.0,0.2,16,7,0,160.02,0,0,16
602,Naoyuki Kotani,66.0,1981-12-08,1.02,0.83,31.0,16.0,2.89,46.0,50.0,0.8,34,14,7,172.72,0,0,5
603,Steven Koslow,69.0,1997-01-22,0.77,5.28,37.0,55.0,3.73,0.0,40.0,1.1,6,1,0,170.18,0,0,1
604,Josh Koscheck,73.0,1977-11-30,1.79,2.46,36.0,48.0,2.27,64.0,63.0,0.4,17,11,0,177.8,0,0,25
605,Bruno Korea,65.0,1991-06-28,2.12,0.0,34.0,0.0,3.96,25.0,42.0,0.0,7,3,0,167.64,0,0,1
606,Roman Kopylov,75.0,1991-05-04,4.72,0.47,53.0,50.0,4.11,92.0,60.0,0.0,12,2,0,182.88,0,0,6
607,Cheick Kongo,82.0,1975-05-17,3.33,2.3,56.0,56.0,1.28,52.0,54.0,0.2,27,10,2,193.04,0,0,18
608,Syuri Kondo,66.0,1989-02-08,5.4,0.0,44.0,0.0,7.22,83.0,58.0,0.3,6,3,0,162.56,0,0,4
609,Yuki Kondo,,1975-07-17,1.14,0.76,42.0,41.0,2.57,37.0,51.0,0.5,60,33,9,180.34,0,0,3
610,John Kolosci,,1974-11-26,0.21,0.0,20.0,0.0,0.85,0.0,50.0,0.0,15,9,0,180.34,0,0,1
611,Tsuyoshi Kohsaka,,1970-03-06,1.88,1.32,38.0,20.0,4.41,33.0,54.0,0.4,27,19,2,180.34,0,0,6
612,Erik Koch,71.0,1988-10-04,2.33,1.02,42.0,42.0,2.82,81.0,47.0,1.0,16,6,0,177.8,0,0,10
613,Josefine Knutsson,60.0,1996-01-16,3.73,2.67,52.0,72.0,1.33,100.0,64.0,0.0,7,0,0,160.02,0,0,1
614,William Knight,73.0,1988-04-03,2.62,1.78,56.0,40.0,3.3,48.0,35.0,0.4,11,5,0,177.8,0,0,7
615,Jason Knight,71.0,1992-07-14,2.95,1.31,33.0,31.0,3.02,47.0,51.0,1.7,20,5,0,177.8,0,0,9
616,Drakkar Klose,70.0,1988-03-09,4.38,1.8,55.0,30.0,3.44,69.0,52.0,0.0,13,2,1,175.26,0,0,9
617,Ludovit Klein,72.0,1995-02-22,3.49,1.52,54.0,45.0,3.53,83.0,53.0,0.0,20,4,1,170.18,0,0,7
618,Justine Kish,64.0,1988-04-13,4.51,0.87,48.0,33.0,4.59,50.0,57.0,0.1,7,4,0,165.1,0,0,7
619,Kamuela Kirk,75.0,1994-04-13,3.22,1.5,50.0,26.0,5.87,47.0,40.0,1.2,12,6,0,177.8,0,0,3
620,Yusaku Kinoshita,71.0,2000-08-21,4.65,0.0,50.0,0.0,5.12,50.0,51.0,0.0,6,3,0,182.88,0,0,2
621,Kyle Kingsbury,79.0,1982-03-22,2.97,2.64,40.0,41.0,3.81,52.0,51.0,0.0,11,6,0,193.04,0,0,9
622,Mike King,,1983-08-04,4.44,1.75,58.0,25.0,1.29,40.0,72.0,3.5,5,1,0,190.5,0,0,1
623,Dustin Kimura,71.0,1989-05-21,1.33,0.93,21.0,37.0,3.82,50.0,51.0,2.2,11,3,0,170.18,0,0,5
624,Rob Kimmons,73.0,1981-01-30,1.86,2.08,48.0,46.0,4.79,25.0,38.0,2.4,25,9,0,177.8,0,0,7
625,Jeremy Kimball,72.0,1991-01-03,2.81,1.41,46.0,20.0,3.84,50.0,49.0,0.0,15,8,0,182.88,0,0,4
626,Ji Yeon Kim,72.0,1989-10-18,5.37,0.0,36.0,0.0,5.41,50.0,56.0,0.1,9,7,2,170.18,0,0,10
627,Dong Hyun Kim,76.0,1981-11-17,2.12,2.93,49.0,43.0,1.89,71.0,58.0,0.6,22,4,1,187.96,0,0,18
628,Jacob Kilburn,72.0,1995-06-28,2.56,0.51,33.0,5.0,6.78,20.0,35.0,0.5,8,4,0,175.26,0,0,2
629,Sanae Kikuta,,1971-09-10,0.7,1.6,45.0,63.0,0.9,25.0,52.0,1.8,31,9,3,175.26,0,0,1
630,Katsunori Kikuno,66.0,1981-10-31,2.64,1.88,40.0,75.0,2.47,76.0,61.0,0.8,24,8,2,172.72,0,0,5
631,Pannie Kianzad,66.0,1991-12-08,4.87,0.35,49.0,30.0,3.75,71.0,53.0,0.1,17,7,0,170.18,0,0,9
632,Aliaskhab Khizriev,74.0,1990-08-24,6.03,5.77,64.0,60.0,4.36,100.0,62.0,3.9,14,0,0,175.26,0,0,1
633,Sergey Khandozhko,74.0,1992-05-19,3.41,0.76,41.0,28.0,2.37,61.0,60.0,0.0,28,6,1,185.42,0,0,3
634,Rustam Khabilov,73.0,1986-11-04,1.98,3.95,34.0,41.0,2.16,61.0,65.0,0.1,24,4,0,172.72,0,0,13
635,Mark Kerr,,1968-12-21,0.28,2.92,41.0,77.0,0.89,0.0,28.0,0.4,15,11,0,190.5,0,0,4
636,Casey Kenney,68.0,1991-03-20,4.85,1.09,42.0,35.0,4.67,61.0,58.0,0.4,16,4,1,170.18,0,0,8
637,Jeremy Kennedy,71.0,1992-09-16,2.22,5.73,46.0,52.0,2.58,66.0,47.0,0.0,11,1,0,180.34,0,0,4
638,Steve Kennedy,,1983-03-07,2.28,2.51,35.0,33.0,5.52,0.0,45.0,0.0,24,8,0,180.34,0,0,2
639,Tim Kennedy,74.0,1979-09-01,2.78,2.58,47.0,35.0,1.84,70.0,62.0,0.7,18,6,0,180.34,0,0,5
640,Daniel Kelly,70.0,1977-10-31,3.62,1.86,38.0,34.0,4.64,78.0,61.0,0.3,13,4,0,182.88,0,0,10
641,Paul Kelly,70.0,1984-09-12,3.22,1.34,37.0,60.0,2.61,30.0,59.0,1.5,14,5,0,175.26,0,0,9
642,Tony Kelley,70.0,1987-01-21,5.55,0.0,47.0,0.0,4.85,52.0,45.0,1.4,8,3,0,175.26,0,0,4
643,Brian Kelleher,66.0,1986-08-19,3.36,1.79,41.0,42.0,4.61,60.0,54.0,0.7,24,14,0,167.64,0,0,15
644,Chris Kelades,68.0,1981-02-21,2.4,1.04,43.0,18.0,2.64,53.0,48.0,0.3,9,3,0,170.18,0,0,4
645,CJ Keith,,1986-08-09,0.86,0.0,50.0,0.0,1.82,62.0,50.0,0.0,8,4,0,182.88,0,0,2
646,Julie Kedzie,,1981-03-18,2.9,1.14,36.0,23.0,3.18,78.0,46.0,0.0,16,13,0,165.1,0,0,2
647,Toshiomi Kazama,69.0,1997-05-15,2.22,1.51,54.0,13.0,3.94,66.0,45.0,0.0,10,4,0,170.18,0,0,2
648,Tatsuya Kawajiri,69.0,1978-05-08,2.04,3.63,44.0,48.0,2.01,63.0,50.0,1.1,36,11,2,170.18,0,0,6
649,Sarah Kaufman,66.0,1985-09-20,6.65,0.38,46.0,57.0,4.0,81.0,62.0,0.0,18,4,0,165.1,0,0,4
650,Calvin Kattar,72.0,1988-03-26,5.12,0.42,39.0,29.0,7.1,91.0,54.0,0.1,23,7,0,180.34,0,0,12
651,Brad Katona,64.0,1991-12-19,4.8,1.0,51.0,20.0,4.57,50.0,50.0,0.0,15,2,0,167.64,0,0,5
652,Yusuke Kasuya,,1989-11-16,2.17,1.36,44.0,33.0,4.34,0.0,48.0,0.0,9,3,0,170.18,0,0,2
653,Nadia Kassem,66.0,1995-11-15,3.13,0.46,41.0,33.0,4.48,40.0,48.0,2.8,5,2,0,165.1,0,0,3
654,Impa Kasanganay,75.0,1994-01-17,4.96,1.75,48.0,58.0,3.66,66.0,58.0,0.2,9,2,0,180.34,0,0,4
655,Alex Karalexis,66.0,1977-09-20,2.57,2.7,42.0,45.0,2.39,86.0,54.0,0.9,10,6,0,172.72,0,0,3
656,Kai Kara-France,69.0,1993-03-26,4.57,0.63,39.0,33.0,3.24,88.0,65.0,0.0,24,11,0,162.56,0,0,11
657,David Kaplan,,1979-11-16,2.88,4.88,46.0,43.0,4.32,0.0,67.0,0.7,3,4,0,170.18,0,0,2
658,Manel Kape,68.0,1993-11-14,5.12,0.65,54.0,37.0,4.51,77.0,59.0,0.4,19,6,0,165.1,0,0,6
659,Kyung Ho Kang,73.0,1987-09-09,3.09,2.07,49.0,57.0,2.91,70.0,58.0,0.9,19,9,0,175.26,0,0,12
660,Denis Kang,77.0,1977-09-17,2.27,2.51,35.0,65.0,1.65,38.0,67.0,1.2,35,16,2,180.34,0,0,3
661,Masanori Kanehara,67.0,1982-11-19,1.88,1.44,49.0,50.0,1.63,63.0,62.0,0.9,26,12,5,170.18,0,0,3
662,Bharat Kandare,72.0,1987-06-20,0.7,0.0,10.0,0.0,1.88,0.0,72.0,0.0,5,3,0,170.18,0,0,1
663,Martin Kampmann,72.0,1982-04-17,3.22,1.86,42.0,41.0,3.28,78.0,62.0,2.0,20,7,0,182.88,0,0,17
664,Kai Kamaka,69.0,1995-01-05,4.96,1.93,57.0,58.0,5.29,52.0,55.0,0.3,8,4,1,170.18,0,0,4
665,Saidyokub Kakhramonov,69.0,1995-11-14,2.05,6.63,51.0,48.0,0.88,83.0,58.0,1.9,10,3,0,172.72,0,0,3
666,Sirwan Kakai,,1989-10-03,3.57,4.0,41.0,42.0,4.63,83.0,62.0,0.0,12,5,0,165.1,0,0,2
667,Emily Kagan,,1981-07-14,2.6,1.86,36.0,14.0,5.29,50.0,38.0,0.0,3,3,0,160.02,0,0,2
668,Myles Jury,73.0,1988-10-31,2.94,2.16,42.0,55.0,2.16,50.0,66.0,0.3,17,4,0,177.8,0,0,12
669,Scott Junk,,1978-12-17,5.13,0.0,60.0,0.0,1.81,0.0,45.0,0.0,8,3,1,185.42,0,0,1
670,Da Woon Jung,78.0,1993-12-07,3.49,1.9,43.0,50.0,3.89,77.0,51.0,0.2,15,5,1,193.04,0,0,8
671,Chan Sung Jung,72.0,1987-03-17,3.93,0.7,41.0,44.0,4.52,72.0,52.0,0.6,17,8,0,170.18,0,0,12
672,Luke Jumeau,72.0,1988-02-12,2.93,0.25,43.0,100.0,3.17,86.0,58.0,0.0,13,5,0,180.34,0,0,4
673,Anshul Jubli,69.0,1995-01-13,6.48,0.82,46.0,18.0,5.61,63.0,51.0,0.4,7,1,0,182.88,0,0,2
674,Kevin Jousset,75.0,1993-05-02,6.02,3.11,50.0,100.0,8.1,0.0,33.0,3.1,9,2,0,187.96,0,0,1
675,Charles Jourdain,69.0,1995-11-27,5.71,0.1,49.0,16.0,4.21,47.0,58.0,0.5,15,6,1,175.26,0,0,12
676,Alan Jouban,73.0,1981-11-25,5.67,0.51,50.0,44.0,3.77,58.0,60.0,0.3,17,7,0,182.88,0,0,13
677,Krzysztof Jotko,77.0,1989-08-19,2.98,1.33,42.0,39.0,2.23,82.0,57.0,0.1,24,6,0,185.42,0,0,17
678,Jeff Joslin,,1975-04-30,2.17,0.5,39.0,33.0,1.57,64.0,65.0,0.5,5,3,0,182.88,0,0,1
679,Scott Jorgensen,66.0,1982-09-17,3.37,2.61,40.0,45.0,3.41,59.0,65.0,0.7,15,12,0,165.1,0,0,12
680,Ivan Jorge,73.0,1980-11-07,3.41,1.56,49.0,16.0,2.91,75.0,59.0,0.6,27,7,0,175.26,0,0,4
681,Shawn Jordan,75.0,1984-10-21,2.87,1.97,50.0,38.0,3.3,76.0,47.0,0.1,19,8,0,182.88,0,0,10
682,Joe Jordan,,1978-07-27,1.85,0.0,25.0,0.0,4.27,66.0,59.0,0.0,49,14,2,167.64,0,0,1
683,Kevin Jordan,,1970-12-31,2.0,0.0,40.0,0.0,1.91,77.0,55.0,0.6,11,9,0,190.5,0,0,2
684,Jocelyn Jones-Lybarger,64.0,1985-10-04,2.96,0.34,31.0,25.0,4.83,81.0,56.0,0.0,6,4,0,170.18,0,0,3
685,Mason Jones,74.0,1995-04-26,5.61,3.16,44.0,45.0,4.94,80.0,46.0,0.0,11,2,0,177.8,0,0,4
686,Trevin Jones,70.0,1990-08-04,2.13,0.62,37.0,15.0,4.29,60.0,39.0,0.2,13,10,0,170.18,0,0,6
687,Justin Jones,,1987-09-06,1.7,1.0,36.0,15.0,3.17,46.0,45.0,0.5,9,2,0,180.34,0,0,2
688,Marcus Jones,,1973-08-15,1.94,8.71,52.0,75.0,2.71,0.0,58.0,2.9,4,2,0,198.12,0,0,1
689,Jon Jones,84.0,1987-07-19,4.29,1.93,57.0,45.0,2.22,95.0,64.0,0.5,27,1,0,193.04,0,0,23
690,Daniel Jolly,75.0,1984-09-03,1.32,2.83,46.0,33.0,3.39,50.0,44.0,0.0,5,3,0,185.42,0,0,2
691,Liana Jojua,62.0,1995-03-22,2.42,1.71,30.0,66.0,5.32,50.0,54.0,1.3,8,5,0,162.56,0,0,4
692,Charles Johnson,70.0,1991-01-10,4.23,0.23,52.0,14.0,3.75,54.0,54.0,0.2,13,5,0,175.26,0,0,5
693,Jose Johnson,71.0,1995-05-20,2.16,0.44,63.0,50.0,1.72,33.0,51.0,0.4,15,8,0,182.88,0,0,1
694,Jordan Johnson,79.0,1988-11-18,3.45,3.25,47.0,42.0,2.64,100.0,53.0,1.2,10,0,0,187.96,0,0,4
695,Timothy Johnson,77.0,1985-03-13,3.43,1.09,45.0,24.0,3.08,69.0,44.0,0.0,12,4,0,190.5,0,0,7
696,Dashon Johnson,,1988-01-25,1.01,0.85,69.0,33.0,3.83,63.0,35.0,0.8,9,2,0,170.18,0,0,2
697,Kajan Johnson,75.0,1984-04-21,2.47,1.54,42.0,37.0,1.59,62.0,64.0,0.2,23,13,1,180.34,0,0,7
698,Michael Johnson,73.0,1986-06-04,4.28,0.46,39.0,38.0,3.91,80.0,58.0,0.1,22,19,0,177.8,0,0,28
699,Demetrious Johnson,66.0,1986-08-13,3.43,3.35,54.0,56.0,1.66,65.0,67.0,0.5,27,3,1,160.02,0,0,18
700,Lavar Johnson,82.0,1977-06-11,5.39,0.61,55.0,66.0,2.54,54.0,55.0,0.6,18,10,0,193.04,0,0,4
701,DaMarques Johnson,75.0,1982-06-28,2.11,1.18,37.0,55.0,3.75,19.0,51.0,0.7,15,15,0,185.42,0,0,10
702,Anthony Johnson,78.0,1984-03-06,3.25,2.43,47.0,57.0,1.83,77.0,60.0,0.6,22,6,0,187.96,0,0,19
703,Miles Johns,66.0,1994-03-30,3.51,1.03,48.0,21.0,2.75,85.0,68.0,0.0,14,2,0,170.18,0,0,7
704,Brett Johns,71.0,1992-02-21,2.86,4.92,49.0,49.0,3.84,58.0,53.0,1.0,17,2,0,170.18,0,0,7
705,Phil Johns,,1968-10-22,1.2,0.0,66.0,0.0,1.8,50.0,50.0,0.0,30,14,1,157.48000000000002,0,0,1
706,Carls John De Tomas,71.0,1996-08-28,1.74,1.37,37.0,33.0,3.93,66.0,44.0,0.0,6,2,0,165.1,0,0,2
707,Sung Bin Jo,72.0,1992-07-17,1.4,1.0,33.0,33.0,2.67,83.0,51.0,1.0,9,1,0,182.88,0,0,1
708,Ryan Jimmo,73.0,1981-11-27,3.12,0.45,66.0,28.0,2.77,87.0,46.0,0.0,19,5,0,185.42,0,0,7
709,Ronald Jhun,,1970-09-21,1.45,1.81,57.0,100.0,3.01,100.0,50.0,0.0,24,26,2,180.34,0,0,1
710,Maciej Jewtuszko,,1981-01-31,2.29,0.0,45.0,0.0,1.39,42.0,66.0,0.9,12,3,0,182.88,0,0,1
711,Chan-Mi Jeon,,1997-08-28,6.23,0.0,31.0,0.0,7.77,0.0,55.0,0.0,5,2,0,165.1,0,0,2
712,Ryan Jensen,76.0,1977-09-20,2.84,1.55,39.0,50.0,2.99,31.0,59.0,1.9,21,8,0,185.42,0,0,8
713,Jack Jenkins,68.0,1993-11-03,4.43,2.56,61.0,69.0,3.07,75.0,59.0,0.0,12,3,0,170.18,0,0,3
714,Brandon Jenkins,71.0,1991-09-30,2.93,0.0,41.0,0.0,8.05,27.0,33.0,0.0,15,9,0,182.88,0,0,2
715,Joanna Jedrzejczyk,65.0,1987-08-18,6.28,0.27,48.0,62.0,3.25,80.0,62.0,0.1,16,5,0,167.64,0,0,15
716,Justin Jaynes,68.0,1989-08-10,3.34,0.75,44.0,40.0,5.33,20.0,62.0,1.1,16,8,0,170.18,0,0,5
717,Yazmin Jauregui,64.0,1999-02-28,6.26,0.0,41.0,0.0,4.87,100.0,54.0,0.0,10,1,0,160.02,0,0,3
718,Jasmine Jasudavicius,68.0,1989-03-01,3.54,2.17,40.0,37.0,4.41,80.0,51.0,0.0,9,3,0,170.18,0,0,5
719,Rony Jason,73.0,1984-03-21,2.04,0.59,44.0,30.0,3.14,36.0,53.0,0.8,14,7,0,170.18,0,0,9
720,Brock Jardine,,1985-07-10,1.06,0.0,30.0,0.0,3.34,14.0,56.0,0.8,12,6,0,180.34,0,0,2
721,Keith Jardine,76.0,1975-10-31,3.25,1.18,36.0,45.0,2.98,62.0,59.0,0.7,17,11,2,187.96,0,0,13
722,Ryan Janes,76.0,1981-08-22,7.69,0.35,48.0,100.0,5.53,58.0,59.0,0.0,10,3,0,190.5,0,0,4
723,Virna Jandiroba,64.0,1988-05-30,2.34,2.42,40.0,39.0,3.03,73.0,56.0,1.0,19,3,0,160.02,0,0,8
724,Justin James,,1976-11-08,1.34,0.0,36.0,0.0,2.68,50.0,50.0,1.6,13,7,0,177.8,0,0,1
725,Dustin Jacoby,76.0,1988-04-04,5.46,0.4,46.0,25.0,4.02,60.0,59.0,0.0,19,7,1,190.5,0,0,12
726,Montel Jackson,75.0,1992-04-24,3.36,3.42,53.0,71.0,1.41,69.0,64.0,0.3,13,2,0,177.8,0,0,9
727,Mike Jackson,74.0,1985-03-22,4.49,0.71,57.0,33.0,3.73,88.0,62.0,0.0,1,2,0,187.96,0,0,4
728,Damon Jackson,71.0,1988-08-08,3.02,2.44,40.0,34.0,3.46,40.0,50.0,1.6,22,6,1,180.34,0,0,11
729,Jeremy Jackson,,1982-09-19,0.71,1.52,27.0,40.0,2.03,58.0,25.0,0.0,9,5,0,177.8,0,0,2
730,Quinton Jackson,73.0,1978-06-20,3.25,1.52,54.0,56.0,2.51,73.0,55.0,0.1,37,12,0,185.42,0,0,13
731,Eugene Jackson,,1966-09-23,2.19,1.91,33.0,71.0,3.44,16.0,32.0,2.3,15,9,1,172.72,0,0,7
732,Yves Jabouin,68.0,1979-05-30,3.06,1.94,41.0,60.0,2.93,82.0,62.0,0.1,20,11,0,170.18,0,0,10
733,Yoislandy Izquierdo,,1984-01-09,2.93,0.0,52.0,0.0,1.4,50.0,26.0,0.0,10,4,0,180.34,0,0,2
734,Anthony Ivy,74.0,1990-01-23,2.5,4.69,42.0,20.0,4.57,100.0,51.0,0.0,8,4,0,187.96,0,0,2
735,Blagoy Ivanov,73.0,1986-10-09,3.25,0.69,40.0,40.0,4.2,61.0,53.0,0.1,19,6,0,180.34,0,0,8
736,Leandro Issa,69.0,1983-09-19,2.08,2.38,37.0,22.0,3.17,50.0,58.0,1.2,13,6,0,170.18,0,0,5
737,Wallid Ismail,,1968-02-23,0.92,1.85,31.0,28.0,0.83,0.0,44.0,0.5,9,3,0,170.18,0,0,1
738,Damir Ismagulov,74.0,1991-02-03,3.36,1.0,42.0,28.0,2.44,70.0,61.0,0.0,24,3,0,177.8,0,0,7
739,Teruto Ishihara,69.0,1991-07-23,3.26,0.5,44.0,16.0,3.63,30.0,53.0,0.0,10,7,2,170.18,0,0,9
740,James Irvin,75.0,1978-09-12,2.03,0.0,48.0,0.0,3.86,36.0,35.0,0.5,17,10,0,187.96,0,0,10
741,Naoki Inoue,71.0,1997-06-14,3.67,0.0,35.0,0.0,3.37,60.0,60.0,2.5,11,1,0,175.26,0,0,2
742,Enson Inoue,,1967-04-15,1.7,0.0,63.0,0.0,1.88,33.0,30.0,0.0,12,8,0,177.8,0,0,1
743,Guto Inocente,,1986-05-29,4.13,0.67,66.0,33.0,2.92,66.0,54.0,0.7,7,4,0,190.5,0,0,2
