event_date,fighter,opponent,win
1994-03-11,Orlando Wiet,Remco Pardoel,False
1994-03-11,Patrick Smith,Scott Morris,True
1994-03-11,Ray Wizard,Patrick Smith,False
1994-03-11,Remco Pardoel,Orlando Wiet,True
1994-03-11,Royce Gracie,Jason DeLucia,True
1994-03-11,Patrick Smith,Johnny Rhodes,True
1994-03-11,Royce Gracie,Remco Pardoel,True
1994-03-11,Royce Gracie,Patrick Smith,True
1994-03-11,Remco Pardoel,Royce Gracie,False
1994-03-11,Royce Gracie,Minoki Ichihara,True
1994-03-11,Johnny Rhodes,Patrick Smith,False
1994-03-11,Fred Ettish,Johnny Rhodes,False
1994-03-11,Scott Morris,Patrick Smith,False
1994-03-11,Minoki Ichihara,Royce Gracie,False
1994-03-11,Scott Baker,Jason DeLucia,False
1994-03-11,Alberta Cerra Leon,Remco Pardoel,False
1994-03-11,Robert Lucarelli,Orlando Wiet,False
1994-03-11,Thaddeus Luster,Frank Hamaker,False
1994-03-11,David Levicki,Johnny Rhodes,False
1994-03-11,Jason DeLucia,Royce Gracie,False
1994-03-11,Jason DeLucia,Scott Baker,True
1994-03-11,Johnny Rhodes,Fred Ettish,True
1994-03-11,Orlando Wiet,Robert Lucarelli,True
1994-03-11,Remco Pardoel,Alberta Cerra Leon,True
1994-03-11,Patrick Smith,Royce Gracie,False
1994-03-11,Scott Morris,Sean Daugherty,True
1994-03-11,Sean Daugherty,Scott Morris,False
1994-03-11,Johnny Rhodes,David Levicki,True
1994-03-11,Frank Hamaker,Thaddeus Luster,True
1994-03-11,Patrick Smith,Ray Wizard,True
1994-09-09,Ken Shamrock,Felix Lee Mitchell,True
1994-09-09,Steve Jennum,Harold Howard,True
1994-09-09,Royce Gracie,Kimo Leopoldo,True
1994-09-09,Harold Howard,Roland Payne,True
1994-09-09,Ken Shamrock,Christophe Leninger,True
1994-09-09,Roland Payne,Harold Howard,False
1994-09-09,Keith Hackney,Emmanuel Yarborough,True
1994-09-09,Harold Howard,Steve Jennum,False
1994-09-09,Christophe Leninger,Ken Shamrock,False
1994-09-09,Felix Lee Mitchell,Ken Shamrock,False
1994-09-09,Kimo Leopoldo,Royce Gracie,False
1994-09-09,Emmanuel Yarborough,Keith Hackney,False
1994-12-16,Marcus Bossett,Dan Severn,False
1994-12-16,Keith Hackney,Royce Gracie,False
1994-12-16,Ron van Clief,Royce Gracie,False
1994-12-16,Melton Bowen,Steve Jennum,False
1994-12-16,Joe Son,Keith Hackney,False
1994-12-16,Jason Fairn,Guy Mezger,False
1994-12-16,Anthony Macias,Dan Severn,False
1994-12-16,Royce Gracie,Ron van Clief,True
1994-12-16,Dan Severn,Anthony Macias,True
1994-12-16,Royce Gracie,Dan Severn,True
1994-12-16,Dan Severn,Marcus Bossett,True
1994-12-16,Royce Gracie,Keith Hackney,True
1994-12-16,Steve Jennum,Melton Bowen,True
1994-12-16,Keith Hackney,Joe Son,True
1994-12-16,Guy Mezger,Jason Fairn,True
1994-12-16,Dan Severn,Royce Gracie,False
1995-04-07,Dave Beneteau,Todd Medina,True
1995-04-07,Dave Beneteau,Asbel Cancio,True
1995-04-07,Asbel Cancio,Dave Beneteau,False
1995-04-07,John Dowdy,Guy Mezger,False
1995-04-07,Andy Anderson,Jon Hess,False
1995-04-07,Larry Cureton,Todd Medina,False
1995-04-07,Dan Severn,Joe Charles,True
1995-04-07,Oleg Taktarov,Dan Severn,False
1995-04-07,Ernie Verdicia,Oleg Taktarov,False
1995-04-07,Guy Mezger,John Dowdy,True
1995-04-07,Joe Charles,Dan Severn,False
1995-04-07,Jon Hess,Andy Anderson,True
1995-04-07,Todd Medina,Larry Cureton,True
1995-04-07,Oleg Taktarov,Ernie Verdicia,True
1995-04-07,Dan Severn,Dave Beneteau,True
1995-04-07,Dan Severn,Oleg Taktarov,True
1995-04-07,Dave Beneteau,Dan Severn,False
1995-04-07,Todd Medina,Dave Beneteau,False
1995-07-14,David Abbott,Oleg Taktarov,False
1995-07-14,Dan Severn,Ken Shamrock,False
1995-07-14,Rudyard Moncayo,Patrick Smith,False
1995-07-14,Anthony Macias,Oleg Taktarov,False
1995-07-14,Ken Shamrock,Dan Severn,True
1995-07-14,John Matua,David Abbott,False
1995-07-14,Cal Worsham,Paul Varelans,False
1995-07-14,Paul Varelans,David Abbott,False
1995-07-14,Oleg Taktarov,Anthony Macias,True
1995-07-14,David Abbott,Paul Varelans,True
1995-07-14,Oleg Taktarov,David Abbott,True
1995-07-14,Patrick Smith,Rudyard Moncayo,True
1995-07-14,Paul Varelans,Cal Worsham,True
1995-07-14,David Abbott,John Matua,True
1995-07-14,Oleg Taktarov,Dave Beneteau,True
1995-07-14,Dave Beneteau,Oleg Taktarov,False
1995-09-08,Paul Varelans,Marco Ruas,False
1995-09-08,Remco Pardoel,Ryan Parker,True
1995-09-08,Mark Hall,Paul Varelans,False
1995-09-08,Larry Cureton,Marco Ruas,False
1995-09-08,Ryan Parker,Remco Pardoel,False
1995-09-08,Harold Howard,Mark Hall,False
1995-09-08,Gerry Harris,Paul Varelans,False
1995-09-08,David Hood,Scott Bessac,False
1995-09-08,Scott Bessac,David Hood,True
1995-09-08,Remco Pardoel,Marco Ruas,False
1995-09-08,Paul Varelans,Mark Hall,True
1995-09-08,Marco Ruas,Larry Cureton,True
1995-09-08,Paul Varelans,Gerry Harris,True
1995-09-08,Mark Hall,Harold Howard,True
1995-09-08,Marco Ruas,Paul Varelans,True
1995-09-08,Marco Ruas,Remco Pardoel,True
1995-12-16,Marco Ruas,Keith Hackney,True
1995-12-16,Dan Severn,Oleg Taktarov,True
1995-12-16,Oleg Taktarov,Marco Ruas,True
1995-12-16,Dan Severn,David Abbott,True
1995-12-16,Steve Jennum,David Abbott,False
1995-12-16,Paul Varelans,Dan Severn,False
1995-12-16,Keith Hackney,Marco Ruas,False
1995-12-16,David Abbott,Dan Severn,False
1995-12-16,Dave Beneteau,Oleg Taktarov,False
1995-12-16,David Abbott,Steve Jennum,True
1995-12-16,Dan Severn,Paul Varelans,True
1995-12-16,Oleg Taktarov,Dave Beneteau,True
1995-12-16,Oleg Taktarov,Dan Severn,False
1995-12-16,Marco Ruas,Oleg Taktarov,False
1996-02-16,Don Frye,Sam Adkins,True
1996-02-16,Gary Goodridge,Jerry Bohlander,True
1996-02-16,Ken Shamrock,Kimo Leopoldo,True
1996-02-16,Don Frye,Gary Goodridge,True
1996-02-16,Jerry Bohlander,Scott Ferrozzo,True
1996-02-16,Paul Varelans,Joe Moreira,True
1996-02-16,Don Frye,Thomas Ramirez,True
1996-02-16,Gary Goodridge,Paul Herrera,True
1996-02-16,Gary Goodridge,Don Frye,False
1996-02-16,Scott Ferrozzo,Jerry Bohlander,False
1996-02-16,Paul Herrera,Gary Goodridge,False
1996-02-16,Sam Adkins,Don Frye,False
1996-02-16,Jerry Bohlander,Gary Goodridge,False
1996-02-16,Kimo Leopoldo,Ken Shamrock,False
1996-02-16,Joe Moreira,Paul Varelans,False
1996-02-16,Thomas Ramirez,Don Frye,False
1996-05-17,Ken Shamrock,Dan Severn,False
1996-05-17,Mark Hall,Koji Kitao,True
1996-05-17,Mark Schultz,Gary Goodridge,True
1996-05-17,Tai Bowden,Steve Nelmark,False
1996-05-17,Rafael Carino,Matt Andersen,True
1996-05-17,Cal Worsham,Zane Frazier,True
1996-05-17,Steve Nelmark,Tai Bowden,True
1996-05-17,Dan Severn,Ken Shamrock,True
1996-05-17,Amaury Bitetti,Don Frye,False
1996-05-17,Don Frye,Amaury Bitetti,True
1996-05-17,Zane Frazier,Cal Worsham,False
1996-05-17,Matt Andersen,Rafael Carino,False
1996-05-17,Gary Goodridge,Mark Schultz,False
1996-05-17,Koji Kitao,Mark Hall,False
1996-07-12,Mark Coleman,Moti Horenstein,True
1996-07-12,Don Frye,Mark Coleman,False
1996-07-12,Mark Coleman,Don Frye,True
1996-07-12,Geza Kalman,Dieusel Berto,True
1996-07-12,Mark Coleman,Gary Goodridge,True
1996-07-12,Don Frye,Brian Johnston,True
1996-07-12,Gary Goodridge,John Campetella,True
1996-07-12,John Campetella,Gary Goodridge,False
1996-07-12,Moti Horenstein,Mark Coleman,False
1996-07-12,Scott Fiedler,Brian Johnston,False
1996-07-12,Dieusel Berto,Geza Kalman,False
1996-07-12,Mark Hall,Don Frye,False
1996-07-12,Brian Johnston,Scott Fiedler,True
1996-07-12,Don Frye,Mark Hall,True
1996-07-12,Gary Goodridge,Mark Coleman,False
1996-07-12,Brian Johnston,Don Frye,False
1996-09-20,Julian Sanchez,Mark Coleman,False
1996-09-20,Scott Ferrozzo,David Abbott,True
1996-09-20,Mark Coleman,Brian Johnston,True
1996-09-20,Jerry Bohlander,Fabio Gurgel,True
1996-09-20,Brian Johnston,Reza Nasri,True
1996-09-20,David Abbott,Sam Adkins,True
1996-09-20,David Abbott,Scott Ferrozzo,False
1996-09-20,Brian Johnston,Mark Coleman,False
1996-09-20,Fabio Gurgel,Jerry Bohlander,False
1996-09-20,Sam Adkins,David Abbott,False
1996-09-20,Reza Nasri,Brian Johnston,False
1996-09-20,Mark Coleman,Julian Sanchez,True
1996-12-07,Don Frye,David Abbott,True
1996-12-07,Don Frye,Mark Hall,True
1996-12-07,Brian Johnston,Ken Shamrock,False
1996-12-07,Mark Hall,Don Frye,False
1996-12-07,Ken Shamrock,Brian Johnston,True
1996-12-07,Kimo Leopoldo,Paul Varelans,True
1996-12-07,David Abbott,Cal Worsham,True
1996-12-07,Don Frye,Gary Goodridge,True
1996-12-07,David Abbott,Steve Nelmark,True
1996-12-07,David Abbott,Don Frye,False
1996-12-07,Cal Worsham,David Abbott,False
1996-12-07,Gary Goodridge,Don Frye,False
1996-12-07,Paul Varelans,Kimo Leopoldo,False
1996-12-07,Steve Nelmark,David Abbott,False
1997-02-07,Jerry Bohlander,Rainy Martinez,True
1997-02-07,Yoshiki Takahashi,Wallid Ismail,True
1997-02-07,Scott Ferrozzo,Jim Mullen,True
1997-02-07,Vitor Belfort,Tra Telligman,True
1997-02-07,Jerry Bohlander,Nick Sanzo,True
1997-02-07,Mark Coleman,Dan Severn,True
1997-02-07,Vitor Belfort,Scott Ferrozzo,True
1997-02-07,Rainy Martinez,Jerry Bohlander,False
1997-02-07,Wallid Ismail,Yoshiki Takahashi,False
1997-02-07,Jim Mullen,Scott Ferrozzo,False
1997-02-07,Tra Telligman,Vitor Belfort,False
1997-02-07,Nick Sanzo,Jerry Bohlander,False
1997-02-07,Scott Ferrozzo,Vitor Belfort,False
1997-02-07,Dan Severn,Mark Coleman,False
1997-05-30,Vitor Belfort,David Abbott,True
1997-05-30,Randy Couture,Steven Graham,True
1997-05-30,Guy Mezger,Tito Ortiz,True
1997-05-30,Randy Couture,Tony Halme,True
1997-05-30,Steven Graham,Dmitri Stepanov,True
1997-05-30,Guy Mezger,Christophe Leninger,True
1997-05-30,Jack Nilson,Saeed Hosseini,True
1997-05-30,Enson Inoue,Royce Alger,True
1997-05-30,Steven Graham,Randy Couture,False
1997-05-30,Dmitri Stepanov,Steven Graham,False
1997-05-30,Tony Halme,Randy Couture,False
1997-05-30,Tito Ortiz,Guy Mezger,False
1997-05-30,Saeed Hosseini,Jack Nilson,False
1997-05-30,Tito Ortiz,Wes Albritton,True
1997-05-30,David Abbott,Vitor Belfort,False
1997-05-30,Royce Alger,Enson Inoue,False
1997-05-30,Wes Albritton,Tito Ortiz,False
1997-05-30,Christophe Leninger,Guy Mezger,False
1997-07-27,Donnie Chappell,Tony Fryklund,False
1997-07-27,Alex Hunter,Sam Fulton,True
1997-07-27,Joe Moreira,Yuri Vaulin,True
1997-07-27,Kevin Jackson,Todd Butler,True
1997-07-27,Mark Kerr,Moti Horenstein,True
1997-07-27,Mark Coleman,Maurice Smith,False
1997-07-27,Dan Bobish,Brian Johnston,True
1997-07-27,Tony Fryklund,Donnie Chappell,True
1997-07-27,Dan Bobish,Mark Kerr,False
1997-07-27,Tony Fryklund,Kevin Jackson,False
1997-07-27,Kevin Jackson,Tony Fryklund,True
1997-07-27,Brian Johnston,Dan Bobish,False
1997-07-27,Todd Butler,Kevin Jackson,False
1997-07-27,Yuri Vaulin,Joe Moreira,False
1997-07-27,Sam Fulton,Alex Hunter,False
1997-07-27,Mark Kerr,Dan Bobish,True
1997-07-27,Maurice Smith,Mark Coleman,True
1997-07-27,Moti Horenstein,Mark Kerr,False
1997-10-17,Harry Moskowitz,Alex Hunter,False
1997-10-17,Dwayne Cason,Mark Kerr,False
1997-10-17,Vitor Belfort,Randy Couture,False
1997-10-17,Carlos Barreto,Dave Beneteau,False
1997-10-17,Greg Stott,Mark Kerr,False
1997-10-17,Houston Dorr,Dwayne Cason,False
1997-10-17,David Abbott,Maurice Smith,False
1997-10-17,Maurice Smith,David Abbott,True
1997-10-17,Alex Hunter,Harry Moskowitz,True
1997-10-17,Randy Couture,Vitor Belfort,True
1997-10-17,Dave Beneteau,Carlos Barreto,True
1997-10-17,Mark Kerr,Dwayne Cason,True
1997-10-17,Mark Kerr,Greg Stott,True
1997-10-17,Dwayne Cason,Houston Dorr,True
1997-12-21,Yoji Anjo,David Abbott,False
1997-12-21,Joe Charles,Vitor Belfort,False
1997-12-21,Marcus Silveira,Kazushi Sakuraba,False
1997-12-21,Maurice Smith,Randy Couture,False
1997-12-21,Brad Kohler,Tra Telligman,False
1997-12-21,Randy Couture,Maurice Smith,True
1997-12-21,Vitor Belfort,Joe Charles,True
1997-12-21,Frank Shamrock,Kevin Jackson,True
1997-12-21,David Abbott,Yoji Anjo,True
1997-12-21,Tra Telligman,Brad Kohler,True
1997-12-21,Kazushi Sakuraba,Marcus Silveira,True
1997-12-21,Kevin Jackson,Frank Shamrock,False
1998-03-13,Eugenio Tadeu,Mikey Burnett,False
1998-03-13,Townsend Saunders,Pat Miletich,False
1998-03-13,Kevin Jackson,Jerry Bohlander,False
1998-03-13,Chris Brennan,Pat Miletich,False
1998-03-13,Kimo Leopoldo,Tsuyoshi Kohsaka,False
1998-03-13,Mikey Burnett,Eugenio Tadeu,True
1998-03-13,Jerry Bohlander,Kevin Jackson,True
1998-03-13,Pat Miletich,Chris Brennan,True
1998-03-13,Igor Zinoviev,Frank Shamrock,False
1998-03-13,Tsuyoshi Kohsaka,Kimo Leopoldo,True
1998-03-13,Frank Shamrock,Igor Zinoviev,True
1998-03-13,Pat Miletich,Townsend Saunders,True
1998-05-15,Mark Coleman,Pete Williams,False
1998-05-15,Chuck Liddell,Noe Hernandez,True
1998-05-15,Jeremy Horn,Frank Shamrock,False
1998-05-15,Frank Shamrock,Jeremy Horn,True
1998-05-15,Pete Williams,Mark Coleman,True
1998-05-15,Dan Henderson,Carlos Newton,True
1998-05-15,Noe Hernandez,Chuck Liddell,False
1998-05-15,Mike van Arsdale,Joe Pardo,True
1998-05-15,Carlos Newton,Bob Gilstrap,True
1998-05-15,Dan Henderson,Allan Goes,True
1998-05-15,Allan Goes,Dan Henderson,False
1998-05-15,Bob Gilstrap,Carlos Newton,False
1998-05-15,Joe Pardo,Mike van Arsdale,False
1998-05-15,Hugo Duarte,David Abbott,False
1998-05-15,Carlos Newton,Dan Henderson,False
1998-05-15,David Abbott,Hugo Duarte,True
1998-10-16,Tsuyoshi Kohsaka,Pete Williams,True
1998-10-16,Frank Shamrock,John Lober,True
1998-10-16,Vitor Belfort,Wanderlei Silva,True
1998-10-16,Ebenezer Fontes Braga,Jeremy Horn,True
1998-10-16,Tulio Palhares,Adriano Santos,True
1998-10-16,Pedro Rizzo,David Abbott,True
1998-10-16,Pat Miletich,Mikey Burnett,True
1998-10-16,John Lober,Frank Shamrock,False
1998-10-16,Wanderlei Silva,Vitor Belfort,False
1998-10-16,David Abbott,Pedro Rizzo,False
1998-10-16,Mikey Burnett,Pat Miletich,False
1998-10-16,Pete Williams,Tsuyoshi Kohsaka,False
1998-10-16,Jeremy Horn,Ebenezer Fontes Braga,False
1998-10-16,Adriano Santos,Tulio Palhares,False
1999-01-08,Mark Coleman,Pedro Rizzo,False
1999-01-08,Frank Caracci,Laverne Clark,False
1999-01-08,Bas Rutten,Tsuyoshi Kohsaka,True
1999-01-08,Pat Miletich,Jorge Patino,True
1999-01-08,Jorge Patino,Pat Miletich,False
1999-01-08,Laverne Clark,Frank Caracci,True
1999-01-08,Tito Ortiz,Jerry Bohlander,True
1999-01-08,Pedro Rizzo,Mark Coleman,True
1999-01-08,Evan Tanner,Darrel Gholar,True
1999-01-08,Jerry Bohlander,Tito Ortiz,False
1999-01-08,Townsend Saunders,Mikey Burnett,False
1999-01-08,Darrel Gholar,Evan Tanner,False
1999-01-08,Tsuyoshi Kohsaka,Bas Rutten,False
1999-01-08,Mikey Burnett,Townsend Saunders,True
1999-03-05,Guy Mezger,Tito Ortiz,False
1999-03-05,Joey Roberts,Sione Latu,False
1999-03-05,Pete Williams,Jason Godsey,True
1999-03-05,Evan Tanner,Valeri Ignatov,True
1999-03-05,Andre Roberts,Gary Goodridge,False
1999-03-05,Jeremy Horn,Chuck Liddell,True
1999-03-05,Chuck Liddell,Jeremy Horn,False
1999-03-05,Maurice Smith,Kevin Randleman,False
1999-03-05,Valeri Ignatov,Evan Tanner,False
1999-03-05,Jason Godsey,Pete Williams,False
1999-03-05,Sione Latu,Joey Roberts,True
1999-03-05,Gary Goodridge,Andre Roberts,True
1999-03-05,Tito Ortiz,Guy Mezger,True
1999-03-05,Kevin Randleman,Maurice Smith,True
1999-05-07,Pedro Rizzo,Tra Telligman,True
1999-05-07,Pete Williams,Travis Fulton,True
1999-05-07,Wanderlei Silva,Tony Petarra,True
1999-05-07,Marcelo Mello,David Roberts,True
1999-05-07,Laverne Clark,Fabiano Iha,True
1999-05-07,Bas Rutten,Kevin Randleman,True
1999-05-07,Ron Waterman,Chris Condo,True
1999-05-07,Tony Petarra,Wanderlei Silva,False
1999-05-07,Travis Fulton,Pete Williams,False
1999-05-07,Tra Telligman,Pedro Rizzo,False
1999-05-07,Kevin Randleman,Bas Rutten,False
1999-05-07,David Roberts,Marcelo Mello,False
1999-05-07,Chris Condo,Ron Waterman,False
1999-05-07,Fabiano Iha,Laverne Clark,False
1999-07-16,Marco Ruas,Maurice Smith,False
1999-07-16,Tsuyoshi Kohsaka,Tim Lajcik,True
1999-07-16,Paul Jones,Flavio Luiz Moura,True
1999-07-16,Jeremy Horn,Daiju Takase,True
1999-07-16,Pat Miletich,Andre Pederneiras,True
1999-07-16,Maurice Smith,Marco Ruas,True
1999-07-16,Eugene Jackson,Royce Alger,True
1999-07-16,Andre Roberts,Ron Waterman,True
1999-07-16,Ron Waterman,Andre Roberts,False
1999-07-16,Royce Alger,Eugene Jackson,False
1999-07-16,Tim Lajcik,Tsuyoshi Kohsaka,False
1999-07-16,Travis Fulton,David Dodd,True
1999-07-16,Flavio Luiz Moura,Paul Jones,False
1999-07-16,Daiju Takase,Jeremy Horn,False
1999-07-16,Andre Pederneiras,Pat Miletich,False
1999-07-16,David Dodd,Travis Fulton,False
1999-09-24,Chuck Liddell,Paul Jones,True
1999-09-24,Frank Shamrock,Tito Ortiz,True
1999-09-24,Brad Kohler,Steve Judson,True
1999-09-24,Jeremy Horn,Jason Godsey,True
1999-09-24,Tito Ortiz,Frank Shamrock,False
1999-09-24,Jason Godsey,Jeremy Horn,False
1999-09-24,Steve Judson,Brad Kohler,False
1999-09-24,Paul Jones,Chuck Liddell,False
1999-09-24,Matt Hughes,Valeri Ignatov,True
1999-09-24,John Lewis,Lowell Anderson,True
1999-09-24,Lowell Anderson,John Lewis,False
1999-09-24,Valeri Ignatov,Matt Hughes,False
1999-11-19,Joe Slick,Jason DeLucia,True
1999-11-19,Kevin Randleman,Pete Williams,True
1999-11-19,Pedro Rizzo,Tsuyoshi Kohsaka,True
1999-11-19,Kenichi Yamamoto,Katsuhisa Fujii,True
1999-11-19,Eugene Jackson,Keiichiro Yamamiya,True
1999-11-19,Kenichi Yamamoto,Daiju Takase,True
1999-11-19,Pete Williams,Kevin Randleman,False
1999-11-19,Katsuhisa Fujii,Masutatsu Yano,True
1999-11-19,Katsuhisa Fujii,Kenichi Yamamoto,False
1999-11-19,Keiichiro Yamamiya,Eugene Jackson,False
1999-11-19,Daiju Takase,Kenichi Yamamoto,False
1999-11-19,Masutatsu Yano,Katsuhisa Fujii,False
1999-11-19,Jason DeLucia,Joe Slick,False
1999-11-19,Tsuyoshi Kohsaka,Pedro Rizzo,False
2000-03-10,Shonie Carter,Brad Gumm,True
2000-03-10,David Velasquez,Jens Pulver,False
2000-03-10,Ian Freeman,Scott Adams,False
2000-03-10,Tiki Ghosn,Bob Cook,False
2000-03-10,Fabiano Iha,Dave Menne,False
2000-03-10,Tedd Williams,Steve Judson,True
2000-03-10,Lance Gibson,Jermaine Andre,True
2000-03-10,Dave Menne,Fabiano Iha,True
2000-03-10,Bob Cook,Tiki Ghosn,True
2000-03-10,Jens Pulver,David Velasquez,True
2000-03-10,Scott Adams,Ian Freeman,True
2000-03-10,Brad Gumm,Shonie Carter,False
2000-03-10,Steve Judson,Tedd Williams,False
2000-03-10,Jermaine Andre,Lance Gibson,False
2000-04-14,Laverne Clark,Koji Oishi,True
2000-04-14,Joe Slick,Ikuhisa Minowa,False
2000-04-14,Satoshi Honma,Ron Waterman,False
2000-04-14,Eugene Jackson,Sanae Kikuta,False
2000-04-14,Yoji Anjo,Murilo Bustamante,False
2000-04-14,Wanderlei Silva,Tito Ortiz,False
2000-04-14,Koji Oishi,Laverne Clark,False
2000-04-14,Ikuhisa Minowa,Joe Slick,True
2000-04-14,Ron Waterman,Satoshi Honma,True
2000-04-14,Sanae Kikuta,Eugene Jackson,True
2000-04-14,Murilo Bustamante,Yoji Anjo,True
2000-04-14,Tito Ortiz,Wanderlei Silva,True
2000-06-09,John Alessio,Pat Miletich,False
2000-06-09,Kevin Randleman,Pedro Rizzo,True
2000-06-09,Matt Hughes,Marcelo Aguiar,True
2000-06-09,Amaury Bitetti,Alex Andrade,True
2000-06-09,Pat Miletich,John Alessio,True
2000-06-09,Nate Schroeder,Ian Freeman,False
2000-06-09,Joao Roque,Jens Pulver,False
2000-06-09,Marcelo Aguiar,Matt Hughes,False
2000-06-09,Shonie Carter,Adrian Serrano,True
2000-06-09,Jens Pulver,Joao Roque,True
2000-06-09,David Dodd,Tyrone Roberts,False
2000-06-09,Pedro Rizzo,Kevin Randleman,False
2000-06-09,Ian Freeman,Nate Schroeder,True
2000-06-09,Adrian Serrano,Shonie Carter,False
2000-06-09,Tyrone Roberts,David Dodd,True
2000-06-09,Alex Andrade,Amaury Bitetti,False
2000-09-22,Jeff Monson,Tim Lajcik,True
2000-09-22,Laverne Clark,Fabiano Iha,False
2000-09-22,Tedd Williams,Ian Freeman,False
2000-09-22,Alexandre Dantas,Yuki Kondo,False
2000-09-22,Eugene Jackson,Jeremy Horn,False
2000-09-22,Bobby Hoffman,Maurice Smith,False
2000-09-22,Dan Severn,Pedro Rizzo,False
2000-09-22,Pedro Rizzo,Dan Severn,True
2000-09-22,Maurice Smith,Bobby Hoffman,True
2000-09-22,Jeremy Horn,Eugene Jackson,True
2000-09-22,Fabiano Iha,Laverne Clark,True
2000-09-22,Yuki Kondo,Alexandre Dantas,True
2000-09-22,Ian Freeman,Tedd Williams,True
2000-09-22,Tim Lajcik,Jeff Monson,False
2000-11-17,Kevin Randleman,Randy Couture,False
2000-11-17,Gan McGee,Josh Barnett,False
2000-11-17,Maurice Smith,Renato Sobral,False
2000-11-17,Aaron Brink,Andrei Arlovski,False
2000-11-17,Renato Sobral,Maurice Smith,True
2000-11-17,Chris Lytle,Ben Earwood,False
2000-11-17,Randy Couture,Kevin Randleman,True
2000-11-17,Ben Earwood,Chris Lytle,True
2000-11-17,John Lewis,Jens Pulver,False
2000-11-17,Alex Stiebling,Mark Hughes,False
2000-11-17,Josh Barnett,Gan McGee,True
2000-11-17,Andrei Arlovski,Aaron Brink,True
2000-11-17,Mark Hughes,Alex Stiebling,True
2000-11-17,Jens Pulver,John Lewis,True
2000-12-16,Kenichi Yamamoto,Pat Miletich,False
2000-12-16,Yoji Anjo,Matt Lindland,False
2000-12-16,Daiju Takase,Fabiano Iha,False
2000-12-16,Lance Gibson,Evan Tanner,False
2000-12-16,Matt Hughes,Dennis Hallman,False
2000-12-16,Jeff Monson,Chuck Liddell,False
2000-12-16,Yuki Kondo,Tito Ortiz,False
2000-12-16,Chuck Liddell,Jeff Monson,True
2000-12-16,Tito Ortiz,Yuki Kondo,True
2000-12-16,Pat Miletich,Kenichi Yamamoto,True
2000-12-16,Matt Lindland,Yoji Anjo,True
2000-12-16,Fabiano Iha,Daiju Takase,True
2000-12-16,Evan Tanner,Lance Gibson,True
2000-12-16,Dennis Hallman,Matt Hughes,True
2001-02-23,Tiki Ghosn,Sean Sherk,False
2001-02-23,Pedro Rizzo,Josh Barnett,True
2001-02-23,Phil Baroni,Curtis Stout,True
2001-02-23,Sean Sherk,Tiki Ghosn,True
2001-02-23,Tito Ortiz,Evan Tanner,True
2001-02-23,Jens Pulver,Caol Uno,True
2001-02-23,Josh Barnett,Pedro Rizzo,False
2001-02-23,Fabiano Iha,Phil Johns,True
2001-02-23,Jeremy Horn,Elvis Sinosic,False
2001-02-23,Phil Johns,Fabiano Iha,False
2001-02-23,Caol Uno,Jens Pulver,False
2001-02-23,Evan Tanner,Tito Ortiz,False
2001-02-23,Curtis Stout,Phil Baroni,False
2001-02-23,Elvis Sinosic,Jeremy Horn,True
2001-05-04,Carlos Newton,Pat Miletich,True
2001-05-04,Joey Gilbert,BJ Penn,False
2001-05-04,Chuck Liddell,Kevin Randleman,True
2001-05-04,Pete Williams,Semmy Schilt,False
2001-05-04,Matt Serra,Shonie Carter,False
2001-05-04,Kevin Randleman,Chuck Liddell,False
2001-05-04,Pedro Rizzo,Randy Couture,False
2001-05-04,Ricardo Almeida,Matt Lindland,False
2001-05-04,Pat Miletich,Carlos Newton,False
2001-05-04,Steve Berger,Tony DeSouza,False
2001-05-04,Tony DeSouza,Steve Berger,True
2001-05-04,Shonie Carter,Matt Serra,True
2001-05-04,Semmy Schilt,Pete Williams,True
2001-05-04,Matt Lindland,Ricardo Almeida,True
2001-05-04,BJ Penn,Joey Gilbert,True
2001-05-04,Randy Couture,Pedro Rizzo,True
2001-06-29,Tito Ortiz,Elvis Sinosic,True
2001-06-29,BJ Penn,Din Thomas,True
2001-06-29,Josh Barnett,Semmy Schilt,True
2001-06-29,Pat Miletich,Shonie Carter,True
2001-06-29,Caol Uno,Fabiano Iha,True
2001-06-29,Vladimir Matyushenko,Yuki Kondo,True
2001-06-29,Ricco Rodriguez,Andrei Arlovski,True
2001-06-29,Tony DeSouza,Paul Rodriguez,True
2001-06-29,Paul Rodriguez,Tony DeSouza,False
2001-06-29,Elvis Sinosic,Tito Ortiz,False
2001-06-29,Din Thomas,BJ Penn,False
2001-06-29,Semmy Schilt,Josh Barnett,False
2001-06-29,Shonie Carter,Pat Miletich,False
2001-06-29,Fabiano Iha,Caol Uno,False
2001-06-29,Yuki Kondo,Vladimir Matyushenko,False
2001-06-29,Andrei Arlovski,Ricco Rodriguez,False
2001-09-28,Dave Menne,Gil Castillo,True
2001-09-28,Matt Serra,Yves Edwards,True
2001-09-28,Chuck Liddell,Murilo Bustamante,True
2001-09-28,Tito Ortiz,Vladimir Matyushenko,True
2001-09-28,Gil Castillo,Dave Menne,False
2001-09-28,Jens Pulver,Dennis Hallman,True
2001-09-28,Dennis Hallman,Jens Pulver,False
2001-09-28,Murilo Bustamante,Chuck Liddell,False
2001-09-28,Vladimir Matyushenko,Tito Ortiz,False
2001-09-28,Eugene Jackson,Ricardo Almeida,False
2001-09-28,Fabiano Iha,Din Thomas,False
2001-09-28,Jutaro Nakao,Tony DeSouza,True
2001-09-28,Yves Edwards,Matt Serra,False
