fighter1,fighter2,win,reach_diff,height_diff,age_diff,slpm_diff,td_avg_diff,strike_acc_diff,td_acc_diff,sapm_diff,td_def_diff,strike_def_diff,sub_avg_diff,total_wins_diff,total_losses_diff,total_draws_diff,ufc_wins_diff,ufc_losses_diff,ufc_nc_diff
Donald Cerrone,Vagner Rocha,1,0.0,7.619999999999976,0.810403832991102,1.77,-0.24,4.0,0.0,-0.019999999999999574,23.0,5.0,-0.7,22.0,13.0,0.0,0.0,0.0,34.0
Demian Maia,Mark Munoz,0,1.0,2.539999999999992,-0.2600958247775496,-1.32,-0.6799999999999997,-8.0,-5.0,-0.18999999999999995,4.0,6.0,0.4,14.0,5.0,0.0,0.0,0.0,18.0
Kenny Florian,Diego Nunes,1,7.0,10.159999999999997,-6.513347022587269,-0.31000000000000005,1.0400000000000003,-3.0,-11.0,-0.7399999999999998,-5.0,5.0,0.7000000000000001,-5.0,-1.0,0.0,0.0,0.0,11.0
Shane Carwin,Junior Dos Santos,0,3.0,-5.079999999999984,-9.070499657768652,-0.11000000000000032,1.1199999999999999,0.0,-17.0,0.19999999999999973,-39.0,-3.0,-0.1,-9.0,-7.0,0.0,0.0,0.0,-17.0
Ken Stone,Scott Jorgensen,0,5.0,7.6200000000000045,0.057494866529774126,0.48,-1.3699999999999999,9.0,-12.0,-0.5100000000000002,1.0,-17.0,-0.09999999999999998,-4.0,-8.0,0.0,0.0,0.0,-8.0
Clay Harvison,Justin Edwards,1,4.0,7.619999999999976,-2.3353867214236823,0.6099999999999999,-1.48,6.0,74.0,0.5900000000000003,41.0,7.0,0.30000000000000004,4.0,1.0,0.0,0.0,0.0,-4.0
Josh Grispi,George Roop,0,2.0,-5.079999999999984,6.926762491444216,-1.9900000000000002,0.9199999999999999,7.0,-21.0,1.2399999999999998,-43.0,-10.0,2.1,-1.0,-8.0,-1.0,0.0,0.0,-9.0
Danny Downes,Jeremy Stephens,0,1.0,7.6200000000000045,-0.12867898699520877,-1.51,-1.16,-6.0,-38.0,0.48,-28.0,-21.0,0.09999999999999998,-20.0,-16.0,0.0,0.0,0.0,-32.0
Fabio Maldonado,Kyle Kingsbury,0,-4.0,-7.6200000000000045,-2.0123203285420943,2.32,-2.2,18.0,16.0,0.49999999999999956,9.0,2.0,0.6,12.0,5.0,0.0,0.0,0.0,2.0
Tim Credeur,Ed Herman,0,-2.0,5.0800000000000125,-3.2334017796030117,0.2799999999999998,-1.55,-18.0,53.0,-0.5800000000000001,-9.0,15.0,2.3,-15.0,-12.0,0.0,0.0,0.0,-21.0
Anthony Pettis,Clay Guida,0,2.0,7.6200000000000045,5.136208076659822,0.41999999999999993,-2.5500000000000003,14.0,14.0,0.43000000000000016,-9.0,-7.0,0.5000000000000001,-14.0,-10.0,0.0,0.0,0.0,-15.0
Ramsey Nijem,Tony Ferguson,0,-1.0,0.0,4.134154688569473,-1.9300000000000006,4.9,-1.0,27.0,-2.6399999999999997,-11.0,6.0,0.20000000000000007,-17.0,-3.0,0.0,0.0,0.0,-12.0
Chris Cariaso,Michael McDonald,0,-6.0,-15.23999999999998,-9.637234770704996,0.6600000000000001,0.020000000000000018,1.0,-27.0,-0.5299999999999998,5.0,4.0,-0.5999999999999999,0.0,4.0,0.0,0.0,0.0,4.0
Gleison Tibau,Rafaello Oliveira,1,0.0,5.0800000000000125,1.6947296372347707,-0.24,1.5899999999999999,-2.0,17.0,-0.8700000000000001,81.0,4.0,-0.8,16.0,6.0,0.0,0.0,0.0,20.0
Kendall Grove,Tim Boetsch,0,5.0,15.240000000000009,1.787816563997262,-0.6200000000000001,-0.96,-9.0,11.0,-0.5,-3.0,-3.0,0.8999999999999999,2.0,4.0,0.0,0.0,0.0,-11.0
Miguel Torres,Demetrious Johnson,0,10.0,15.23999999999998,-5.566050650239562,0.5499999999999998,-3.35,-11.0,-56.0,0.20000000000000018,-48.0,7.0,1.1,17.0,6.0,-1.0,0.0,0.0,-14.0
Jorge Santiago,Brian Stann,0,1.0,0.0,0.04106776180698152,-1.5899999999999999,0.45999999999999996,-7.0,18.0,-0.029999999999999805,-8.0,-3.0,0.5,13.0,6.0,0.0,0.0,0.0,-5.0
Rick Story,Thiago Alves,1,1.0,0.0,0.9034907597535934,0.06999999999999984,1.8199999999999998,0.0,-12.0,-1.25,0.0,0.0,0.6000000000000001,-4.0,-6.0,0.0,0.0,0.0,-8.0
Stefan Struve,Travis Browne,0,5.0,12.699999999999989,5.590691307323751,0.18999999999999995,-0.6499999999999999,6.0,-22.0,-0.2699999999999996,-20.0,4.0,1.5,15.0,6.0,-1.0,0.0,0.0,7.0
Frank Mir,Roy Nelson,1,6.0,7.6200000000000045,2.924024640657084,0.0,0.8800000000000001,11.0,13.0,-0.9500000000000002,-11.0,-8.0,1.9,-4.0,-3.0,0.0,0.0,0.0,8.0
Matt Hamill,Quinton Jackson,0,3.0,0.0,-1.7056810403832992,0.43999999999999995,1.48,-12.0,-22.0,1.29,18.0,6.0,-0.1,-25.0,-4.0,0.0,0.0,0.0,2.0
Jason MacDonald,Ryan Jensen,1,4.0,5.0800000000000125,-2.299794661190965,-1.2899999999999998,-0.1200000000000001,13.0,-34.0,-0.29000000000000004,4.0,-13.0,0.10000000000000009,4.0,8.0,0.0,0.0,0.0,6.0
Ivan Menjivar,Charlie Valencia,1,0.0,7.6200000000000045,7.578370978781656,0.19999999999999973,-0.8399999999999999,0.0,-25.0,0.1499999999999999,-37.0,-12.0,0.5,13.0,5.0,0.0,0.0,0.0,8.0
Claude Patrick,Daniel Roberts,1,1.0,2.539999999999992,-0.14236824093086928,1.07,-0.14000000000000012,35.0,9.0,-1.38,44.0,23.0,-0.8,-1.0,-5.0,0.0,0.0,0.0,-3.0
Jake Ellenberger,Sean Pierson,1,-5.0,-7.6200000000000045,9.048596851471595,-1.3699999999999997,1.65,0.0,29.0,-0.8999999999999999,20.0,-4.0,0.0,17.0,9.0,0.0,0.0,0.0,15.0
Rory MacDonald,Nate Diaz,1,0.0,0.0,4.265571526351814,-0.8200000000000003,0.72,-3.0,17.0,-0.9700000000000002,47.0,10.0,-0.9,-3.0,-9.0,0.0,0.0,0.0,-14.0
Benson Henderson,Mark Bocek,1,-5.0,2.539999999999992,2.0616016427104724,0.5900000000000003,-1.25,2.0,9.0,-0.5299999999999998,32.0,3.0,-0.5,12.0,2.0,0.0,0.0,0.0,1.0
Vladimir Matyushenko,Jason Brilz,1,3.0,2.539999999999992,-4.503764544832307,-0.7600000000000002,0.8799999999999999,4.0,21.0,-0.15999999999999992,45.0,-6.0,-1.2,5.0,2.0,-1.0,0.0,0.0,5.0
Lyoto Machida,Randy Couture,1,-1.0,0.0,14.937713894592745,-0.26000000000000023,-1.5699999999999998,-4.0,19.0,0.040000000000000036,17.0,2.0,-0.09999999999999998,5.0,-3.0,0.0,0.0,0.0,0.0
Mark Hominick,Jose Aldo,0,-2.0,2.539999999999992,-4.134154688569473,0.5100000000000002,-0.24,-4.0,12.0,0.4399999999999995,-20.0,9.0,0.8,-11.0,4.0,0.0,0.0,0.0,-13.0
Jake Shields,Georges St-Pierre,0,-4.0,2.539999999999992,-2.3572895277207393,-1.3299999999999996,-1.33,-17.0,-45.0,0.40000000000000013,-48.0,-16.0,0.09999999999999987,5.0,7.0,1.0,0.0,0.0,-14.0
Mario Miranda,Aaron Simpson,0,1.0,7.6200000000000045,4.97741273100616,-1.6400000000000001,-2.76,2.0,26.0,-0.06999999999999984,-29.0,-20.0,-0.5,2.0,2.0,0.0,0.0,0.0,-7.0
TJ Waldburger,Johny Hendricks,0,6.0,5.0800000000000125,4.618754277891855,-1.4700000000000002,-0.8000000000000003,6.0,0.0,-1.6,-23.0,-13.0,4.5,-2.0,1.0,0.0,0.0,0.0,-13.0
Christian Morecraft,Sean McCorkle,1,0.0,-2.539999999999992,10.143737166324435,1.9699999999999998,1.1399999999999997,-10.0,26.0,-0.020000000000000018,17.0,-6.0,-2.0,-9.0,-4.0,0.0,0.0,0.0,1.0
Michael McDonald,Edwin Figueroa,1,1.0,5.079999999999984,6.458590006844627,0.1200000000000001,0.8900000000000001,3.0,-34.0,-0.30000000000000027,15.0,6.0,0.7999999999999999,8.0,-1.0,0.0,0.0,0.0,3.0
John Hathaway,Kris McCray,1,-1.0,2.539999999999992,5.8261464750171115,0.71,-0.27,-5.0,-12.0,-0.7699999999999998,22.0,8.0,0.9,9.0,-3.0,0.0,0.0,0.0,6.0
Alex Caceres,Mackens Semerzier,0,1.0,2.5400000000000205,7.627652292950034,1.25,-1.58,5.0,18.0,-0.5499999999999998,14.0,17.0,-1.4000000000000001,13.0,10.0,0.0,0.0,0.0,26.0
Jon Madsen,Mike Russow,0,-1.0,-2.539999999999992,3.4195756331279945,0.9099999999999999,-3.34,-6.0,28.0,-1.72,70.0,22.0,-0.7,-7.0,-1.0,0.0,0.0,0.0,-1.0
Amir Sadollah,DaMarques Johnson,1,0.0,-7.619999999999976,-1.834360027378508,2.6,-0.61,9.0,-28.0,-0.20000000000000018,41.0,9.0,-0.39999999999999997,-9.0,-10.0,0.0,0.0,0.0,1.0
Leonard Garcia,Chan Sung Jung,0,-4.0,7.6200000000000045,-7.67419575633128,-1.1600000000000001,-0.39999999999999997,-17.0,-18.0,0.27000000000000046,-30.0,0.0,-0.09999999999999998,1.0,5.0,1.0,0.0,0.0,-3.0
Dan Hardy,Anthony Johnson,0,-4.0,-5.0800000000000125,-1.8042436687200547,-0.79,-1.7000000000000002,-12.0,-22.0,1.6099999999999999,-42.0,-9.0,-0.19999999999999996,3.0,4.0,0.0,0.0,0.0,-9.0
Phil Davis,Rogerio Nogueira,1,4.0,0.0,8.314852840520192,0.41999999999999993,2.35,-1.0,-6.0,-1.0099999999999998,10.0,13.0,-0.20000000000000007,-6.0,-6.0,0.0,0.0,0.0,0.0
Shamar Bailey,Danny Castillo,0,4.0,0.0,3.077344284736482,-1.0099999999999998,-1.4500000000000002,-22.0,-5.0,1.9500000000000002,-26.0,7.0,-0.2,-1.0,1.0,0.0,0.0,0.0,-11.0
Mitch Clarke,John Cholish,0,-1.0,-2.539999999999992,1.9383983572895278,-0.2999999999999998,-1.1800000000000002,-15.0,-16.0,0.98,-28.0,-26.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0
Manvel Gamburyan,Diego Nunes,0,0.0,-2.5400000000000205,-1.5633127994524298,-0.5900000000000003,2.08,-2.0,-10.0,0.2400000000000002,4.0,-3.0,0.09999999999999998,-4.0,3.0,0.0,0.0,0.0,9.0
Felipe Arantes,Antonio Carvalho,1,3.0,-2.539999999999992,8.698151950718685,-0.6599999999999997,0.93,16.0,47.0,-0.96,-59.0,0.0,0.7,3.0,4.0,1.0,0.0,0.0,8.0
Dustin Jacoby,Chris Camozzi,0,1.0,2.539999999999992,1.3716632443531827,1.8900000000000001,0.13,2.0,6.0,1.0599999999999996,3.0,3.0,-0.5,-5.0,-6.0,1.0,0.0,0.0,-7.0
Zhang Tiequan,Issei Tamura,0,6.0,7.6200000000000045,-5.631759069130732,-0.6599999999999999,1.0299999999999998,-17.0,33.0,-2.44,42.0,7.0,3.4,5.0,-4.0,0.0,0.0,0.0,1.0
Marcus Brimage,Maximo Blanco,1,0.0,-10.159999999999997,1.4729637234770705,-0.14000000000000012,-1.29,-9.0,64.0,0.4500000000000002,17.0,-10.0,-0.3,-5.0,-1.0,-1.0,0.0,0.0,-1.0
Karlos Vemola,Mike Massenzio,1,2.0,-5.0800000000000125,2.6694045174537986,-0.41000000000000014,-0.8100000000000003,-1.0,1.0,-1.46,-19.0,-17.0,0.30000000000000004,4.0,-4.0,0.0,0.0,0.0,-1.0
Mike Brown,Daniel Pineda,1,1.0,-2.539999999999992,-9.911019849418206,-0.10999999999999988,1.52,-5.0,15.0,-0.73,18.0,14.0,-1.1,-2.0,-6.0,0.0,0.0,0.0,-6.0
Erik Perez,John Albert,1,0.0,0.0,3.1019849418206706,0.11000000000000032,3.16,-9.0,55.0,-0.73,19.0,31.0,-5.8999999999999995,11.0,1.0,0.0,0.0,0.0,4.0
Joe Proctor,Jeremy Larsen,1,2.0,0.0,1.2292950034223136,-1.48,-2.49,-12.0,-33.0,-1.8199999999999998,70.0,2.0,1.8,3.0,0.0,0.0,0.0,0.0,5.0
Sam Sicilia,Cristiano Marcello,1,-5.0,-2.539999999999992,8.164271047227926,-0.10000000000000009,1.01,0.0,32.0,-0.06000000000000005,50.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0
Jonathan Brookins,Charles Oliveira,0,0.0,5.079999999999984,-4.177960301163586,-0.8500000000000001,-0.3799999999999999,-14.0,-23.0,0.43999999999999995,25.0,5.0,-2.4000000000000004,-18.0,1.0,0.0,0.0,0.0,-27.0
Michael Chiesa,Al Iaquinta,1,5.0,7.619999999999976,0.6050650239561944,-2.1899999999999995,2.7,0.0,32.0,-2.83,-14.0,-7.0,0.8,4.0,0.0,-1.0,0.0,0.0,3.0
Martin Kampmann,Jake Ellenberger,1,1.0,7.6200000000000045,-2.945927446954141,0.75,-0.17999999999999994,3.0,-6.0,0.44999999999999973,-8.0,2.0,1.6,-11.0,-8.0,0.0,0.0,0.0,-4.0
Kyle Kingsbury,Glover Teixeira,0,3.0,5.079999999999984,2.3983572895277208,-0.7599999999999998,0.5300000000000002,-9.0,8.0,-0.6199999999999997,-8.0,0.0,-0.9,-22.0,-3.0,0.0,0.0,0.0,-14.0
Paul Sass,Jacob Volkmann,1,2.0,7.6200000000000045,7.912388774811773,-0.6599999999999999,-2.66,-8.0,-32.0,0.11999999999999988,-19.0,-1.0,5.4,-5.0,-5.0,0.0,0.0,0.0,-5.0
Duane Ludwig,Dan Hardy,0,-4.0,-5.079999999999984,-3.783709787816564,2.16,-0.3,9.0,-10.0,-0.3900000000000001,24.0,6.0,-0.30000000000000004,-4.0,4.0,0.0,0.0,0.0,-1.0
Jamie Varner,Edson Barboza,1,-4.0,-7.6200000000000045,-1.2758384668035592,-1.2599999999999998,3.0100000000000002,-11.0,3.0,-1.79,-9.0,1.0,0.7000000000000001,-3.0,0.0,1.0,0.0,0.0,-20.0
Diego Brandao,Darren Elkins,0,-7.0,-7.6200000000000045,3.028062970568104,-0.5,0.3599999999999999,9.0,33.0,0.10999999999999988,24.0,10.0,-0.5000000000000001,-6.0,0.0,0.0,0.0,0.0,-18.0
Lavar Johnson,Stefan Struve,0,-2.0,-17.78,-10.688569472963723,2.2699999999999996,0.04999999999999993,8.0,20.0,-1.5,-1.0,9.0,-1.1,-15.0,-3.0,0.0,0.0,0.0,-20.0
Dave Herman,Roy Nelson,0,4.0,10.159999999999997,8.28747433264887,2.8000000000000003,0.3500000000000001,24.0,73.0,-1.0100000000000002,-7.0,2.0,-0.1,0.0,-8.0,0.0,0.0,0.0,-14.0
Cain Velasquez,Antonio Silva,1,-5.0,-7.6200000000000045,2.869267624914442,3.48,4.31,12.0,16.0,-0.7599999999999998,19.0,7.0,-0.4,-5.0,-9.0,-1.0,0.0,0.0,4.0
Junior Dos Santos,Frank Mir,1,-2.0,2.539999999999992,4.687200547570157,2.31,-1.72,0.0,10.0,-0.5099999999999998,27.0,18.0,-1.9,3.0,-2.0,0.0,0.0,0.0,-4.0
Johnny Eduardo,Jeff Curran,1,2.0,2.539999999999992,0.917180013689254,1.4100000000000001,-0.12999999999999998,8.0,8.0,0.7400000000000002,23.0,3.0,-0.7999999999999999,-8.0,-5.0,-1.0,0.0,0.0,5.0
Rafael Dos Anjos,Kamal Shalorus,1,2.0,0.0,12.164271047227926,0.45999999999999996,-0.06000000000000005,15.0,-15.0,0.19999999999999973,-24.0,-10.0,0.6,23.0,10.0,-2.0,0.0,0.0,31.0
Carlo Prater,TJ Grant,0,0.0,2.539999999999992,-2.6721423682409307,-1.9200000000000004,-1.2,-7.0,-34.0,0.8600000000000003,21.0,-21.0,1.1,10.0,13.0,1.0,0.0,0.0,-8.0
Marcus LeVesseur,Cody McKenzie,0,-2.0,-7.6200000000000045,-5.415468856947296,0.8099999999999998,1.3900000000000001,30.0,11.0,1.2000000000000002,69.0,-30.0,-1.9,6.0,-3.0,0.0,0.0,0.0,-4.0
Brad Tavares,Dongi Yang,1,1.0,7.619999999999976,3.0362765229295,-0.16999999999999993,-0.8899999999999999,-8.0,-15.0,-0.18000000000000016,21.0,-7.0,-0.5,7.0,6.0,0.0,0.0,0.0,18.0
Jason MacDonald,Tom Lawlor,0,6.0,7.6200000000000045,-7.94798083504449,-0.95,-1.03,10.0,-16.0,0.29000000000000004,-22.0,-14.0,0.6000000000000001,15.0,10.0,0.0,0.0,0.0,3.0
Igor Pokrajac,Fabio Maldonado,1,-1.0,-2.539999999999992,-1.2046543463381245,-3.04,0.43,-13.0,-28.0,-0.04999999999999982,-10.0,-13.0,-0.39999999999999997,5.0,2.0,0.0,0.0,0.0,2.0
Yves Jabouin,Jeff Hougland,1,0.0,0.0,0.8240930869267625,1.2,1.08,-7.0,42.0,-0.5299999999999998,82.0,15.0,-1.0,10.0,5.0,0.0,0.0,0.0,7.0
Donald Cerrone,Jeremy Stephens,1,2.0,10.159999999999997,-3.156741957563313,1.2400000000000002,0.0,6.0,-5.0,1.4300000000000006,8.0,-5.0,0.7999999999999999,8.0,-2.0,0.0,0.0,0.0,4.0
Dustin Poirier,Chan Sung Jung,0,0.0,5.079999999999984,1.8453114305270362,1.56,0.6600000000000001,9.0,-8.0,-0.21999999999999975,-9.0,1.0,0.6,12.0,0.0,0.0,0.0,0.0,17.0
Pablo Garza,Dennis Bermudez,0,7.0,17.779999999999973,-3.241615331964408,-1.0499999999999998,-2.95,-2.0,-15.0,-0.36999999999999966,-67.0,-9.0,0.19999999999999996,-5.0,-5.0,0.0,0.0,0.0,-11.0
Danny Castillo,John Cholish,1,-3.0,-5.0800000000000125,-4.312114989733059,-0.08000000000000007,1.1300000000000001,-7.0,7.0,-0.33000000000000007,-15.0,-11.0,-0.2,9.0,7.0,0.0,0.0,0.0,11.0
John Lineker,Louis Gaudinot,0,4.0,0.0,5.7878165639972625,3.0200000000000005,-0.009999999999999898,3.0,18.0,-2.1500000000000004,36.0,8.0,-0.5000000000000001,23.0,5.0,0.0,0.0,0.0,11.0
John Dodson,Tim Elliott,1,0.0,-10.159999999999997,-2.242299794661191,-0.20999999999999996,-3.02,-4.0,-19.0,0.9100000000000001,23.0,5.0,-1.0,2.0,-1.0,-1.0,0.0,0.0,-2.0
Michael Johnson,Tony Ferguson,1,-3.0,-2.539999999999992,2.308008213552361,-0.7000000000000002,0.040000000000000036,-6.0,3.0,-0.34999999999999964,14.0,2.0,-0.8,-4.0,10.0,0.0,0.0,0.0,6.0
Pat Barry,Lavar Johnson,0,-8.0,-12.699999999999989,2.0698151950718686,-2.6699999999999995,-0.61,-3.0,-66.0,1.0,22.0,4.0,-0.39999999999999997,-10.0,-3.0,0.0,0.0,0.0,8.0
Alan Belcher,Rousimar Palhares,1,4.0,15.240000000000009,4.158795345653662,0.9500000000000002,-3.49,-10.0,-19.0,1.06,55.0,0.0,-3.1999999999999997,-1.0,0.0,0.0,0.0,0.0,3.0
Josh Koscheck,Johny Hendricks,0,4.0,2.5400000000000205,-5.782340862422998,-1.7000000000000002,-1.37,-9.0,2.0,-1.7200000000000002,1.0,10.0,0.10000000000000003,-1.0,3.0,0.0,0.0,0.0,4.0
Jim Miller,Nate Diaz,0,-5.0,-10.159999999999997,-1.6290212183436004,-1.7100000000000004,0.51,-4.0,13.0,-0.69,7.0,6.0,0.5,14.0,4.0,0.0,0.0,0.0,15.0
Mac Danzig,Efrain Escudero,1,-1.0,-2.539999999999992,-6.036960985626283,0.4700000000000002,-0.1100000000000001,4.0,-3.0,1.1400000000000001,-20.0,-6.0,-0.20000000000000007,-7.0,0.0,1.0,0.0,0.0,1.0
Anthony Njokuani,John Makdessi,1,7.0,12.699999999999989,-5.171800136892539,-1.5799999999999996,0.5,-3.0,45.0,-1.7400000000000002,-33.0,-3.0,0.2,-2.0,3.0,0.0,0.0,0.0,-12.0
Stephen Thompson,Matt Brown,0,0.0,0.0,2.086242299794661,0.4400000000000004,-1.41,-10.0,-5.0,0.1200000000000001,1.0,0.0,-1.3,-9.0,-13.0,1.0,0.0,0.0,-11.0
Chad Griggs,Travis Browne,0,-6.0,-12.700000000000017,-4.172484599589322,-0.26000000000000023,0.30000000000000004,9.0,-2.0,-2.0899999999999994,-34.0,4.0,-0.2,-7.0,-4.0,-1.0,0.0,0.0,-15.0
Mark Bocek,John Alessio,1,3.0,-5.0800000000000125,2.305270362765229,0.23999999999999977,1.7999999999999998,4.0,-2.0,-0.5900000000000003,-39.0,6.0,0.10000000000000009,-23.0,-12.0,0.0,0.0,0.0,8.0
Michael McDonald,Miguel Torres,1,-6.0,0.0,9.990417522245037,-1.29,1.09,-1.0,66.0,0.8999999999999997,35.0,-17.0,-0.20000000000000018,-27.0,-5.0,0.0,0.0,0.0,5.0
Ben Rothwell,Brendan Schaub,1,0.0,0.0,-1.4154688569472964,0.79,-1.6399999999999997,5.0,-12.0,2.4099999999999997,-2.0,-10.0,0.0,29.0,9.0,0.0,0.0,0.0,6.0
Che Mills,Rory MacDonald,0,0.0,2.539999999999992,-6.811772758384668,-1.67,-0.5900000000000001,10.0,19.0,0.07000000000000028,-30.0,-19.0,-0.4,-3.0,6.0,0.0,0.0,0.0,-9.0
Rashad Evans,Jon Jones,0,-9.0,-10.159999999999997,-7.813826146475017,-2.15,1.05,-20.0,-1.0,0.19999999999999973,-22.0,-1.0,-0.5,-8.0,7.0,1.0,0.0,0.0,0.0
Francis Carmont,Magnus Cedenblad,1,-1.0,-5.079999999999984,-0.49555099247091033,-0.1599999999999997,-1.08,-9.0,-28.0,-1.3800000000000001,7.0,19.0,-0.4,11.0,7.0,0.0,0.0,0.0,3.0
Damacio Page,Brad Pickett,0,-2.0,0.0,4.016427104722792,-0.9700000000000002,0.1599999999999997,7.0,20.0,-2.1599999999999997,-35.0,-4.0,0.5,-6.0,-4.0,0.0,0.0,0.0,-11.0
DaMarques Johnson,John Maguire,0,6.0,10.159999999999997,-0.8898015058179329,0.7,-1.6199999999999999,-4.0,9.0,1.31,-58.0,-14.0,-0.40000000000000013,-9.0,6.0,0.0,0.0,0.0,5.0
Diego Nunes,Dennis Siver,0,-3.0,0.0,3.8795345653661877,-1.15,0.30999999999999994,11.0,12.0,-0.08000000000000007,0.0,-7.0,0.3,-4.0,-4.0,0.0,0.0,0.0,-15.0
Paulo Thiago,Siyar Bahadurzada,0,1.0,0.0,-3.2251882272416155,-1.2000000000000002,0.09999999999999987,-1.0,-30.0,-1.24,1.0,14.0,0.8999999999999999,-6.0,1.0,-1.0,0.0,0.0,5.0
Brian Stann,Alessio Sakara,1,2.0,2.539999999999992,-0.9390828199863107,-0.6800000000000002,-2.06,-5.0,-66.0,-0.1499999999999999,-2.0,0.0,0.3,-7.0,-5.0,0.0,0.0,0.0,-4.0
Thiago Silva,Alexander Gustafsson,0,-5.0,-7.619999999999976,-4.175222450376454,-0.11000000000000032,-0.5,10.0,8.0,-0.98,-13.0,16.0,0.29999999999999993,1.0,-2.0,0.0,0.0,0.0,-6.0
Daniel Pineda,Mackens Semerzier,1,-3.0,-5.079999999999984,4.75564681724846,0.17999999999999972,-0.43000000000000016,4.0,-25.0,-0.2999999999999998,-2.0,0.0,-0.40000000000000013,20.0,11.0,0.0,0.0,0.0,9.0
TJ Waldburger,Jake Hecht,1,2.0,-2.539999999999992,4.20807665982204,-1.2399999999999998,0.9899999999999998,4.0,9.0,-0.36999999999999966,0.0,-16.0,4.8,5.0,5.0,0.0,0.0,0.0,5.0
Kyle Noke,Andrew Craig,0,0.0,0.0,-5.8288843258042435,0.8399999999999999,1.0,10.0,17.0,-0.9199999999999999,-6.0,14.0,0.8,13.0,6.0,1.0,0.0,0.0,5.0
Cole Miller,Steven Siler,0,3.0,5.079999999999984,-2.8062970568104038,-0.20999999999999996,0.13,-8.0,15.0,0.9199999999999999,-17.0,5.0,0.19999999999999996,-8.0,-5.0,0.0,0.0,0.0,11.0
James Te Huna,Aaron Rosa,1,-2.0,-5.079999999999984,-1.6591375770020533,0.009999999999999787,2.39,4.0,4.0,-1.42,-27.0,17.0,-0.2,-2.0,3.0,0.0,0.0,0.0,7.0
Court McGee,Constantinos Philippou,0,2.0,0.0,5.037645448323066,2.44,1.4899999999999998,2.0,-17.0,0.9500000000000002,4.0,6.0,0.10000000000000003,9.0,7.0,0.0,0.0,0.0,11.0
Thiago Alves,Martin Kampmann,0,-2.0,-7.6200000000000045,1.462012320328542,0.5099999999999998,-1.1500000000000001,-1.0,19.0,0.14000000000000012,-15.0,0.0,-1.7,3.0,8.0,0.0,0.0,0.0,10.0
Takeya Mizugaki,Chris Cariaso,0,5.0,10.159999999999997,2.5544147843942504,0.020000000000000018,0.34999999999999987,-6.0,18.0,1.04,13.0,-4.0,-0.7000000000000001,4.0,3.0,2.0,0.0,0.0,1.0
Steve Cantwell,Riki Fukuda,0,2.0,5.0800000000000125,5.919233401779603,-0.6100000000000003,-1.52,-9.0,-13.0,2.05,10.0,-9.0,0.7,-17.0,-3.0,0.0,0.0,0.0,1.0
Norifumi Yamamoto,Vaughan Lee,0,0.0,-5.0800000000000125,-5.585215605749487,-1.3800000000000003,-0.4000000000000001,-2.0,-11.0,-0.06000000000000005,-27.0,-13.0,-1.0,4.0,-7.0,-1.0,0.0,0.0,-4.0
Anthony Pettis,Joe Lauzon,1,1.0,0.0,2.6830937713894594,0.20999999999999996,-1.7800000000000002,8.0,5.0,-1.9499999999999997,6.0,0.0,-0.8999999999999999,-4.0,-6.0,0.0,0.0,0.0,-7.0
Hatsu Hioki,Bart Palaszewski,1,3.0,5.0800000000000125,0.13415468856947296,-0.25,1.9,10.0,25.0,-1.85,1.0,8.0,0.09999999999999998,-7.0,-7.0,2.0,0.0,0.0,4.0
Yushin Okami,Tim Boetsch,0,1.0,5.0800000000000125,0.47638603696098564,-0.8700000000000001,0.53,-12.0,5.0,-0.6499999999999999,25.0,3.0,-0.30000000000000004,13.0,-1.0,0.0,0.0,0.0,-3.0
Yoshihiro Akiyama,Jake Shields,0,3.0,-5.079999999999984,-3.4496919917864477,0.6499999999999999,-0.54,5.0,38.0,1.82,57.0,1.0,-0.19999999999999996,-17.0,-3.0,-1.0,0.0,0.0,-1.0
Mark Hunt,Cheick Kongo,1,-10.0,-15.23999999999998,-1.1498973305954825,-0.52,-1.7899999999999998,-13.0,-1.0,1.6199999999999999,12.0,-3.0,0.0,-14.0,4.0,-1.0,0.0,0.0,0.0
Quinton Jackson,Ryan Bader,0,-1.0,-2.5400000000000205,-4.963723477070499,0.43000000000000016,-1.85,11.0,12.0,1.1199999999999999,-7.0,-16.0,-0.30000000000000004,14.0,7.0,0.0,0.0,0.0,-7.0
Benson Henderson,Frankie Edgar,1,2.0,7.619999999999976,2.083504449007529,-0.8399999999999999,0.10999999999999988,5.0,14.0,-1.0299999999999998,-2.0,-2.0,0.5,1.0,-4.0,-1.0,0.0,0.0,-16.0
Anton Kuivanen,Justin Salas,0,2.0,0.0,2.135523613963039,-1.15,-1.2300000000000002,-5.0,80.0,-1.33,71.0,-1.0,0.4,12.0,3.0,0.0,0.0,0.0,-4.0
Jonathan Brookins,Vagner Rocha,1,1.0,5.079999999999984,3.186858316221766,0.04999999999999982,0.54,-3.0,-16.0,-0.8700000000000001,30.0,8.0,-1.5999999999999999,2.0,6.0,0.0,0.0,0.0,1.0
John Albert,Ivan Menjivar,0,4.0,5.079999999999984,4.372347707049966,0.27,-0.56,12.0,-28.0,0.06000000000000005,12.0,-30.0,5.1,-19.0,-7.0,0.0,0.0,0.0,-4.0
