fighter1,fighter2,win,reach_diff,height_diff,age_diff,slpm_diff,td_avg_diff,strike_acc_diff,td_acc_diff,sapm_diff,td_def_diff,strike_def_diff,sub_avg_diff,total_wins_diff,total_losses_diff,total_draws_diff,ufc_wins_diff,ufc_losses_diff,ufc_nc_diff
Darrius Flowers,Jake Matthews,0,-2.0,-5.0800000000000125,0.01642710472279261,0.9200000000000004,-0.010000000000000009,11.0,-8.0,4.6899999999999995,39.0,-20.0,-0.7,-7.0,0.0,1.0,0.0,0.0,-17.0
Claudio Ribeiro,Roman Kopylov,0,2.0,2.539999999999992,1.2046543463381245,-0.0699999999999994,0.29000000000000004,4.0,0.0,-0.7700000000000005,-17.0,-29.0,0.0,-1.0,2.0,0.0,0.0,0.0,-3.0
CJ Vergara,Vinicius Salvador,1,-2.0,-2.539999999999992,-5.100616016427105,0.5699999999999994,-0.38,15.0,-11.0,-1.04,-12.0,4.0,0.2,-2.0,-2.0,1.0,0.0,0.0,3.0
Trevin Giles,Gabriel Bonfim,0,2.0,-2.539999999999992,-5.037645448323066,-3.11,-3.53,16.0,-45.0,-2.71,-29.0,-7.0,-6.9,1.0,5.0,0.0,0.0,0.0,10.0
Michael Chiesa,Kevin Holland,0,-6.0,-5.0800000000000125,-4.914442162902122,-2.5199999999999996,2.55,-9.0,12.0,-1.5200000000000002,7.0,3.0,0.5,-7.0,-3.0,0.0,0.0,0.0,-2.0
Tony Ferguson,Bobby Green,0,5.0,2.539999999999992,-2.5735797399041753,-1.17,-0.79,-7.0,-2.0,0.5999999999999996,-8.0,-6.0,0.6000000000000001,-5.0,-5.0,-1.0,0.0,0.0,-1.0
Derrick Lewis,Marcos Rogerio de Lima,1,4.0,5.0800000000000125,-0.37782340862423,-1.0099999999999998,-0.7500000000000001,-6.0,-19.0,-0.3700000000000001,-7.0,-10.0,-0.5,6.0,1.0,-1.0,0.0,0.0,10.0
Jan Blachowicz,Alex Pereira,0,-1.0,-5.079999999999984,-4.3641341546885695,-1.7000000000000002,0.8700000000000001,-12.0,-50.0,-0.79,-2.0,2.0,0.09999999999999998,21.0,8.0,1.0,0.0,0.0,14.0
Dustin Poirier,Justin Gaethje,0,2.0,-5.0800000000000125,0.1806981519507187,-1.8599999999999994,1.23,-10.0,11.0,-3.2,-12.0,0.0,1.2,4.0,4.0,0.0,0.0,0.0,17.0
Shauna Bannon,Bruna Brasil,0,0.0,-2.5400000000000205,0.12594113620807665,0.16000000000000014,-1.86,-31.0,-66.0,-0.20999999999999996,-20.0,-16.0,0.0,-4.0,-2.0,-1.0,0.0,0.0,-1.0
